层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1.1.意大利,意大利 新增次留,0.147541,0.213483,0.138298,0.241379,0.100917,0.172414,-0.065942,-30.888697
1.1.所罗门群岛,所罗门群岛 新增次留,,,,,,,,
1.1.拉脱维亚,拉脱维亚 新增次留,0.111111,0.133333,0.095238,0.0,0.130435,0.071429,-0.022222,-16.666667
1.1.挪威,挪威 新增次留,0.238095,0.090909,0.5,0.176471,0.277778,0.166667,0.147186,161.904762
1.1.捷克,捷克 新增次留,0.12,0.071429,0.055556,0.083333,0.0,0.210526,0.048571,68.0
1.1.摩尔多瓦,摩尔多瓦 新增次留,0.153846,0.0,0.0,0.166667,0.1,0.210526,0.153846,
1.1.摩洛哥,摩洛哥 新增次留,0.214286,0.074074,0.230769,0.153846,0.214286,0.181818,0.140212,189.285714
1.1.摩纳哥,摩纳哥 新增次留,,,1.0,,,,,
1.1.文莱,文莱 新增次留,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.斐济,斐济 新增次留,0.0,0.0,0.0,0.5,0.0,0.0,0.0,
1.1.斯威士兰,斯威士兰 新增次留,,,,,0.0,,,
1.1.斯洛伐克,斯洛伐克 新增次留,0.166667,0.111111,0.25,0.090909,0.0,0.125,0.055556,50.0
1.1.斯洛文尼亚,斯洛文尼亚 新增次留,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,
1.1.斯里兰卡,斯里兰卡 新增次留,0.0,0.5,0.2,0.0,0.25,0.083333,-0.5,-100.0
1.1.新加坡,新加坡 新增次留,0.15,0.25,0.142857,0.181818,0.15,0.190476,-0.1,-40.0
1.1.新喀里多尼亚,新喀里多尼亚 新增次留,,,0.0,,,,,
1.1.新西兰,新西兰 新增次留,0.571429,0.0,0.0,0.0,0.0,0.066667,0.571429,
1.1.日本,日本 新增次留,0.088,0.21875,0.347826,0.217391,0.137931,0.142857,-0.13075,-59.771429
1.1.智利,智利 新增次留,0.088235,0.122449,0.085714,0.030303,0.125,0.114754,-0.034214,-27.941176
1.1.柬埔寨,柬埔寨 新增次留,0.5,0.5,0.0,0.0,0.0,,0.0,0.0
1.1.根西岛,根西岛 新增次留,,0.0,,,1.0,,,
1.1.格林纳达,格林纳达 新增次留,0.0,,0.0,,,,,
1.1.格陵兰,格陵兰 新增次留,,,,,,,,
1.1.格鲁吉亚,格鲁吉亚 新增次留,0.125,0.0,0.130435,0.086957,0.230769,0.176471,0.125,
1.1.比利时,比利时 新增次留,0.047619,0.090909,0.0,0.0625,0.08,0.045455,-0.04329,-47.619048
1.1.毛里塔尼亚,毛里塔尼亚 新增次留,0.0,,0.0,0.0,1.0,0.0,,
1.1.毛里求斯,毛里求斯 新增次留,,0.5,0.0,0.0,0.0,0.5,,
1.1.汤加,汤加 新增次留,0.0,,0.0,,,,,
1.1.沙特阿拉伯,沙特阿拉伯 新增次留,0.2,0.052632,0.090909,0.166667,0.105263,0.060606,0.147368,280.0
1.1.法国,法国 新增次留,0.119403,0.165854,0.176201,0.150215,0.152047,0.081395,-0.046451,-28.007024
1.1.法属圣马丁,法属圣马丁 新增次留,,,0.0,,0.0,,,
1.1.法属圭亚那,法属圭亚那 新增次留,,0.0,0.5,0.0,0.0,0.0,,
1.1.法属波利尼西亚,法属波利尼西亚 新增次留,0.0,,,1.0,,,,
1.1.法罗群岛,法罗群岛 新增次留,,,,0.0,,,,
1.1.波兰,波兰 新增次留,0.101449,0.108696,0.140351,0.130435,0.147059,0.155172,-0.007246,-6.666667
1.1.波多黎各,波多黎各 新增次留,0.277778,0.2,0.230769,0.045455,0.117647,0.0,0.077778,38.888889
1.1.波黑,波黑 新增次留,0.0,0.222222,0.25,0.25,0.0,0.1,-0.222222,-100.0
1.1.泰国,泰国 新增次留,0.076923,0.111111,0.3,0.090909,0.181818,0.318182,-0.034188,-30.769231
1.1.泽西岛,泽西岛 新增次留,0.0,,,,0.0,,,
1.1.津巴布韦,津巴布韦 新增次留,0.0,0.333333,0.0,0.0,0.333333,0.0,-0.333333,-100.0
1.1.洪都拉斯,洪都拉斯 新增次留,0.090909,0.125,0.090909,0.4,0.083333,0.230769,-0.034091,-27.272727
1.1.海地,海地 新增次留,0.125,0.181818,0.0,0.2,1.0,0.25,-0.056818,-31.25
1.1.澳大利亚,澳大利亚 新增次留,0.095238,0.080268,0.092031,0.098298,0.122995,0.128492,0.014971,18.650794
