层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1.2.伊拉克,伊拉克续订毛利,2.0958,0.889857,1.482,3.859714,1.4996,3.885,1.205943,135.52095
1.2.伊朗,伊朗续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.伯利兹,伯利兹续订毛利,3.6935,3.2215,0.0,2.7965,24.642,1.697333,0.472,14.65156
1.2.佛得角,佛得角续订毛利,2.7965,0.0,0.0,3.392,7.522667,0.0,2.7965,
1.2.俄罗斯,俄罗斯续订毛利,41.249143,42.255429,31.416857,31.181,21.575,60.964143,-1.006286,-2.381435
1.2.保加利亚,保加利亚续订毛利,136.712429,100.631286,93.899571,103.400714,82.535,86.414,36.081143,35.854797
1.2.克罗地亚,克罗地亚续订毛利,259.870143,274.239,270.225714,232.952286,237.842143,295.752286,-14.368857,-5.239538
1.2.关岛,关岛续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.冈比亚,冈比亚续订毛利,2.329833,5.24125,2.96975,2.396,3.595,1.298,-2.911417,-55.548136
1.2.冰岛,冰岛续订毛利,18.856857,28.874714,13.890143,31.174,15.273857,22.237143,-10.017857,-34.694221
1.2.几内亚,几内亚续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.几内亚比绍,几内亚比绍续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.列支敦士登,列支敦士登续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.刚果共和国,刚果共和国续订毛利,0.0,3.396,9.086,0.0,16.8,5.828667,-3.396,-100.0
1.2.刚果民主共和国,刚果民主共和国续订毛利,2.0965,4.0558,0.69825,2.064167,1.39825,5.593,-1.9593,-48.308595
1.2.利比亚,利比亚续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.利比里亚,利比里亚续订毛利,5.484333,1.737667,1.047667,1.030833,3.962,3.903857,3.746667,215.614809
1.2.加拿大,加拿大续订毛利,2545.078,2545.569714,2383.080571,2306.305429,2270.436,2364.434286,-0.491714,-0.019316
1.2.加纳,加纳续订毛利,10.566429,14.681,8.691714,12.954,8.267429,3.462714,-4.114571,-28.026507
1.2.加蓬,加蓬续订毛利,3.414333,0.0,0.0,2.264,3.396,0.86275,3.414333,
