渠道自然,国家,日期,平台,DAU,新老,_window,_query
整体,整体,2026-07-13T00:00:00,整体,678773.2857142857,Old,recent_8w,全量维度
整体,波兰,2026-07-06T00:00:00,Android,752.4285714285714,Old,recent_8w,全量维度
整体,布隆迪,2026-06-22T00:00:00,iOS,1.0,New,recent_8w,全量维度
整体,爱沙尼亚,2026-07-20T00:00:00,Android,4.571428571428571,New,recent_8w,全量维度
整体,利比里亚,2026-07-27T00:00:00,Android,207.85714285714286,整体,recent_8w,全量维度
整体,黑山,2026-06-29T00:00:00,iOS,751.1428571428571,Old,recent_8w,全量维度
整体,利比里亚,2026-07-13T00:00:00,Android,14.857142857142858,New,recent_8w,全量维度
整体,波兰,2026-07-06T00:00:00,整体,203.0,New,recent_8w,全量维度
整体,整体,2026-08-03T00:00:00,整体,41222.142857142855,New,recent_8w,全量维度
整体,英国,2026-06-15T00:00:00,整体,39787.28571428572,整体,recent_8w,全量维度
整体,日本,2026-06-15T00:00:00,整体,886.0,整体,recent_8w,全量维度
整体,英国,2026-07-20T00:00:00,Android,4474.428571428572,整体,recent_8w,全量维度
整体,德国,2026-07-13T00:00:00,Android,3612.8571428571427,整体,recent_8w,全量维度
整体,尼日利亚,2026-06-15T00:00:00,整体,680.0,New,recent_8w,全量维度
整体,波兰,2026-07-20T00:00:00,整体,3918.4285714285716,整体,recent_8w,全量维度
整体,布隆迪,2026-06-29T00:00:00,Android,31.428571428571427,Old,recent_8w,全量维度
整体,秘鲁,2026-06-22T00:00:00,Android,1517.857142857143,整体,recent_8w,全量维度
整体,秘鲁,2026-06-15T00:00:00,整体,3103.0,整体,recent_8w,全量维度
整体,墨西哥,2026-06-22T00:00:00,iOS,223.0,New,recent_8w,全量维度
整体,巴拿马,2026-06-15T00:00:00,iOS,9.571428571428571,New,recent_8w,全量维度
整体,澳大利亚,2026-06-15T00:00:00,Android,23.857142857142858,New,recent_8w,全量维度
整体,波兰,2026-06-22T00:00:00,iOS,172.85714285714286,New,recent_8w,全量维度
整体,索马里,2026-07-06T00:00:00,整体,15.285714285714286,New,recent_8w,全量维度
整体,巴拿马,2026-07-06T00:00:00,Android,7.428571428571429,New,recent_8w,全量维度
整体,黑山,2026-07-20T00:00:00,整体,34.285714285714285,New,recent_8w,全量维度
整体,罗马尼亚,2026-06-29T00:00:00,Android,22.428571428571427,New,recent_8w,全量维度
整体,罗马尼亚,2026-07-20T00:00:00,iOS,2044.4285714285713,整体,recent_8w,全量维度
整体,巴拿马,2026-06-29T00:00:00,Android,129.57142857142858,Old,recent_8w,全量维度
整体,墨西哥,2026-08-03T00:00:00,Android,6459.142857142857,整体,recent_8w,全量维度
整体,巴西,2026-06-29T00:00:00,整体,278951.85714285716,Old,recent_8w,全量维度
整体,科摩罗,2026-08-03T00:00:00,整体,11.0,Old,recent_8w,全量维度
整体,巴拿马,2026-07-06T00:00:00,整体,447.2857142857143,整体,recent_8w,全量维度
整体,巴拿马,2026-07-20T00:00:00,iOS,332.57142857142856,整体,recent_8w,全量维度
整体,波兰,2026-08-03T00:00:00,Android,864.1428571428571,整体,recent_8w,全量维度
整体,澳大利亚,2026-07-27T00:00:00,Android,968.7142857142857,Old,recent_8w,全量维度
整体,罗马尼亚,2026-07-27T00:00:00,iOS,1898.7142857142858,Old,recent_8w,全量维度
整体,英国,2026-06-15T00:00:00,Android,4292.428571428572,Old,recent_8w,全量维度
整体,日本,2026-07-27T00:00:00,iOS,601.1428571428571,整体,recent_8w,全量维度
整体,香港,2026-06-22T00:00:00,Android,216.28571428571428,整体,recent_8w,全量维度
整体,德国,2026-07-20T00:00:00,Android,3547.0,整体,recent_8w,全量维度
整体,法国,2026-07-27T00:00:00,iOS,4083.285714285714,Old,recent_8w,全量维度
整体,布隆迪,2026-07-20T00:00:00,iOS,1.3333333333333333,New,recent_8w,全量维度
整体,塞浦路斯,2026-06-22T00:00:00,iOS,597.4285714285714,整体,recent_8w,全量维度
整体,秘鲁,2026-07-27T00:00:00,整体,140.71428571428572,New,recent_8w,全量维度
整体,秘鲁,2026-07-27T00:00:00,整体,3575.4285714285716,整体,recent_8w,全量维度
整体,巴西,2026-06-22T00:00:00,iOS,6225.857142857143,New,recent_8w,全量维度
整体,布隆迪,2026-07-20T00:00:00,Android,2.25,New,recent_8w,全量维度
整体,香港,2026-07-20T00:00:00,Android,59.285714285714285,Old,recent_8w,全量维度
整体,澳大利亚,2026-06-29T00:00:00,整体,10334.857142857143,整体,recent_8w,全量维度
整体,英国,2026-06-22T00:00:00,Android,132.42857142857142,New,recent_8w,全量维度
整体,突尼斯,2026-08-03T00:00:00,Android,188.42857142857142,Old,recent_8w,全量维度
整体,利比里亚,2026-07-20T00:00:00,iOS,130.57142857142858,Old,recent_8w,全量维度
整体,墨西哥,2026-07-20T00:00:00,Android,1284.857142857143,New,recent_8w,全量维度
整体,南非,2026-08-03T00:00:00,Android,76.28571428571429,New,recent_8w,全量维度
整体,英国,2026-08-03T00:00:00,iOS,1779.142857142857,New,recent_8w,全量维度
整体,巴西,2026-07-20T00:00:00,iOS,197964.42857142858,Old,recent_8w,全量维度
整体,埃及,2026-06-22T00:00:00,iOS,1119.7142857142858,Old,recent_8w,全量维度
整体,布隆迪,2026-06-29T00:00:00,整体,39.857142857142854,Old,recent_8w,全量维度
整体,黑山,2026-06-29T00:00:00,iOS,23.714285714285715,New,recent_8w,全量维度
整体,巴拿马,2026-07-20T00:00:00,整体,473.57142857142856,整体,recent_8w,全量维度
整体,巴勒斯坦,2026-07-13T00:00:00,iOS,279.14285714285717,Old,recent_8w,全量维度
整体,爱沙尼亚,2026-07-13T00:00:00,Android,124.42857142857143,整体,recent_8w,全量维度
整体,巴拿马,2026-06-15T00:00:00,iOS,330.42857142857144,Old,recent_8w,全量维度
整体,巴勒斯坦,2026-06-22T00:00:00,Android,31.714285714285715,Old,recent_8w,全量维度
整体,罗马尼亚,2026-07-13T00:00:00,整体,2394.1428571428573,Old,recent_8w,全量维度
整体,塞浦路斯,2026-08-03T00:00:00,整体,699.1428571428571,Old,recent_8w,全量维度
整体,突尼斯,2026-07-06T00:00:00,iOS,216.0,Old,recent_8w,全量维度
整体,拉脱维亚,2026-07-13T00:00:00,iOS,880.8571428571429,Old,recent_8w,全量维度
整体,罗马尼亚,2026-06-29T00:00:00,整体,2379.8571428571427,整体,recent_8w,全量维度
整体,突尼斯,2026-06-29T00:00:00,Android,171.14285714285714,Old,recent_8w,全量维度
整体,香港,2026-06-29T00:00:00,iOS,58.714285714285715,New,recent_8w,全量维度
整体,爱沙尼亚,2026-06-22T00:00:00,整体,38.714285714285715,New,recent_8w,全量维度
整体,埃及,2026-06-29T00:00:00,Android,1021.0,整体,recent_8w,全量维度
整体,阿联酋,2026-08-03T00:00:00,整体,1410.142857142857,Old,recent_8w,全量维度
整体,墨西哥,2026-07-06T00:00:00,整体,16488.428571428572,整体,recent_8w,全量维度
整体,尼日利亚,2026-06-22T00:00:00,整体,6029.0,Old,recent_8w,全量维度
整体,德国,2026-06-22T00:00:00,Android,3026.1428571428573,Old,recent_8w,全量维度
整体,埃及,2026-07-13T00:00:00,iOS,86.14285714285714,New,recent_8w,全量维度
整体,拉脱维亚,2026-06-15T00:00:00,Android,164.85714285714286,整体,recent_8w,全量维度
整体,黑山,2026-06-29T00:00:00,Android,125.0,Old,recent_8w,全量维度
整体,匈牙利,2026-06-15T00:00:00,iOS,32.0,New,recent_8w,全量维度
整体,突尼斯,2026-06-15T00:00:00,整体,35.285714285714285,New,recent_8w,全量维度
整体,塞浦路斯,2026-07-13T00:00:00,iOS,583.8571428571429,Old,recent_8w,全量维度
整体,日本,2026-06-22T00:00:00,iOS,33.285714285714285,New,recent_8w,全量维度
整体,突尼斯,2026-07-06T00:00:00,Android,17.142857142857142,New,recent_8w,全量维度
整体,突尼斯,2026-07-20T00:00:00,整体,402.7142857142857,Old,recent_8w,全量维度
整体,突尼斯,2026-06-29T00:00:00,Android,12.285714285714286,New,recent_8w,全量维度
整体,塞浦路斯,2026-07-06T00:00:00,整体,728.2857142857143,整体,recent_8w,全量维度
整体,利比里亚,2026-08-03T00:00:00,整体,338.0,整体,recent_8w,全量维度
整体,整体,2026-06-15T00:00:00,iOS,25674.571428571428,New,recent_8w,全量维度
整体,整体,2026-07-20T00:00:00,iOS,539336.7142857143,整体,recent_8w,全量维度
整体,波兰,2026-07-06T00:00:00,iOS,2807.4285714285716,整体,recent_8w,全量维度
整体,匈牙利,2026-06-15T00:00:00,iOS,750.1428571428571,整体,recent_8w,全量维度
整体,拉脱维亚,2026-08-03T00:00:00,iOS,63.42857142857143,New,recent_8w,全量维度
整体,突尼斯,2026-07-13T00:00:00,整体,436.2857142857143,整体,recent_8w,全量维度
整体,南非,2026-06-29T00:00:00,iOS,58.57142857142857,New,recent_8w,全量维度
整体,拉脱维亚,2026-06-15T00:00:00,Android,5.428571428571429,New,recent_8w,全量维度
整体,阿联酋,2026-06-29T00:00:00,Android,218.28571428571428,整体,recent_8w,全量维度
整体,香港,2026-08-03T00:00:00,iOS,832.2857142857143,Old,recent_8w,全量维度
整体,科摩罗,2026-06-15T00:00:00,整体,8.857142857142858,整体,recent_8w,全量维度
整体,科摩罗,2026-07-06T00:00:00,Android,8.714285714285714,Old,recent_8w,全量维度
整体,匈牙利,2026-07-20T00:00:00,整体,1039.142857142857,整体,recent_8w,全量维度
整体,巴勒斯坦,2026-06-22T00:00:00,iOS,291.85714285714283,整体,recent_8w,全量维度
整体,科摩罗,2026-07-13T00:00:00,iOS,3.142857142857143,Old,recent_8w,全量维度
整体,立陶宛,2026-07-06T00:00:00,Android,168.28571428571428,整体,recent_8w,全量维度
整体,索马里,2026-07-20T00:00:00,整体,101.0,整体,recent_8w,全量维度
整体,香港,2026-07-06T00:00:00,iOS,791.8571428571429,Old,recent_8w,全量维度
