渠道自然,国家,日期,平台,新老,_window,_query,活跃用户数,次日留存人数
整体,瓦努阿图,2026-07-13,iOS,整体,recent_8w,全量维度,3.2857142857142856,0.8571428571428571
整体,突尼斯,2026-07-06,整体,New,recent_8w,全量维度,40.285714285714285,7.428571428571429
整体,库克群岛,2026-06-29,整体,整体,recent_8w,全量维度,4.142857142857143,1.7142857142857142
整体,圣文森特和格林纳丁斯,2026-06-29,Android,Old,recent_8w,全量维度,5.571428571428571,1.8571428571428572
整体,英属印度洋领地,2026-06-15,Android,整体,recent_8w,全量维度,1.0,0.5
整体,卢森堡,2026-07-13,iOS,Old,recent_8w,全量维度,116.14285714285714,46.714285714285715
整体,马提尼克岛,2026-07-20,整体,整体,recent_8w,全量维度,8.571428571428571,2.2857142857142856
整体,库克群岛,2026-07-13,iOS,整体,recent_8w,全量维度,4.285714285714286,2.142857142857143
整体,卢森堡,2026-06-15,Android,Old,recent_8w,全量维度,19.0,8.0
整体,荷兰加勒比,2026-06-15,iOS,整体,recent_8w,全量维度,5.571428571428571,2.0
整体,卢森堡,2026-07-13,整体,整体,recent_8w,全量维度,139.71428571428572,56.0
整体,荷兰加勒比,2026-07-20,整体,整体,recent_8w,全量维度,4.714285714285714,1.5714285714285714
整体,圣文森特和格林纳丁斯,2026-06-22,整体,New,recent_8w,全量维度,1.0,0.3333333333333333
整体,百慕大,2026-06-15,iOS,Old,recent_8w,全量维度,32.857142857142854,13.571428571428571
整体,马提尼克岛,2026-07-27,整体,Old,recent_8w,全量维度,9.0,2.2857142857142856
整体,伯利兹,2026-06-08,iOS,整体,recent_8w,全量维度,48.57142857142857,14.857142857142858
整体,法属圣马丁,2026-06-22,iOS,整体,recent_8w,全量维度,4.142857142857143,1.7142857142857142
整体,圣马力诺,2026-06-22,Android,整体,recent_8w,全量维度,1.0,0.3333333333333333
整体,英属维尔京群岛,2026-07-20,整体,New,recent_8w,全量维度,1.0,0.5
整体,塞舌尔,2026-07-06,整体,New,recent_8w,全量维度,2.5,1.0
整体,马提尼克岛,2026-06-22,Android,整体,recent_8w,全量维度,2.0,0.5714285714285714
整体,直布罗陀,2026-06-29,iOS,New,recent_8w,全量维度,1.3333333333333333,0.6666666666666666
整体,塞舌尔,2026-07-06,整体,Old,recent_8w,全量维度,41.57142857142857,18.428571428571427
整体,英属印度洋领地,2026-07-27,iOS,整体,recent_8w,全量维度,1.0,0.5
