渠道自然,国家,日期,平台,_window,_query,DNU,新增次日留存人数
non-Organic,意大利,2026-07-06,整体,recent_8w,全量维度,14.0,3.142857142857143
Organic,斯洛伐克,2026-06-08,整体,recent_8w,全量维度,23.142857142857142,4.714285714285714
non-Organic,墨西哥,2026-06-29,整体,recent_8w,全量维度,1303.142857142857,89.71428571428571
Organic,加拿大,2026-06-15,整体,recent_8w,全量维度,450.85714285714283,55.42857142857143
Organic,斐济,2026-06-15,整体,recent_8w,全量维度,2.2,0.6
Organic,关岛,2026-07-06,整体,recent_8w,全量维度,1.0,0.5
non-Organic,卡塔尔,2026-07-06,整体,recent_8w,全量维度,1.25,0.0
整体,利比里亚,2026-06-29,整体,recent_8w,全量维度,34.285714285714285,7.0
整体,多哥,2026-06-22,整体,recent_8w,全量维度,7.428571428571429,1.1428571428571428
Organic,捷克,2026-06-29,整体,recent_8w,全量维度,50.57142857142857,10.714285714285714
Organic,关岛,2026-06-15,整体,recent_8w,全量维度,2.0,0.6
Organic,纳米比亚,2026-07-27,整体,recent_8w,全量维度,3.4285714285714284,0.2857142857142857
整体,坦桑尼亚,2026-06-15,整体,recent_8w,全量维度,20.0,4.142857142857143
non-Organic,蒙古,2026-07-20,整体,recent_8w,全量维度,1.0,1.0
non-Organic,法国,2026-06-15,整体,recent_8w,全量维度,58.57142857142857,9.714285714285714
Organic,利比亚,2026-06-08,整体,recent_8w,全量维度,8.428571428571429,2.142857142857143
non-Organic,哈萨克斯坦,2026-07-13,整体,recent_8w,全量维度,8.714285714285714,0.8571428571428571
Organic,爱沙尼亚,2026-07-20,整体,recent_8w,全量维度,35.714285714285715,8.285714285714286
整体,捷克,2026-06-15,整体,recent_8w,全量维度,51.0,8.0
non-Organic,葡萄牙,2026-06-22,整体,recent_8w,全量维度,11.714285714285714,1.5714285714285714
整体,巴基斯坦,2026-07-13,整体,recent_8w,全量维度,298.57142857142856,53.857142857142854
Organic,瑞典,2026-06-08,整体,recent_8w,全量维度,157.14285714285714,27.857142857142858
non-Organic,卡塔尔,2026-06-15,整体,recent_8w,全量维度,2.0,0.5
Organic,瑞典,2026-07-13,整体,recent_8w,全量维度,147.71428571428572,28.0
整体,利比里亚,2026-07-13,整体,recent_8w,全量维度,26.285714285714285,5.285714285714286
整体,蒙古,2026-07-06,整体,recent_8w,全量维度,7.714285714285714,1.0
