渠道自然,国家,日期,平台,新老,付费状态,版本,一级功能,二级功能,_window,_query,保存 UV
整体,巴西,2026-06-29,整体,整体,整体,整体,图片编辑,Jaw,recent_8w,图片编辑二级功能,2.857142857142857
整体,整体,2026-06-29,整体,整体,整体,整体,图片编辑,AI Tattoo,recent_8w,图片编辑二级功能,448.42857142857144
整体,巴西,2026-06-08,整体,整体,整体,整体,图片编辑,Hair Dye,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-06-08,整体,整体,整体,整体,图片编辑,Align,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-06-08,整体,整体,整体,整体,图片编辑,Enrich,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-06-29,整体,整体,整体,整体,图片编辑,Hair,recent_8w,图片编辑二级功能,7583.714285714285
整体,整体,2026-06-08,整体,整体,整体,整体,图片编辑,Vertical,recent_8w,图片编辑二级功能,1.0
整体,美国,2026-07-27,整体,整体,整体,整体,图片编辑,Background,recent_8w,图片编辑二级功能,631.7142857142857
整体,巴西,2026-07-13,整体,整体,整体,整体,图片编辑,Lipstick,recent_8w,图片编辑二级功能,0.0
整体,整体,2026-07-13,整体,整体,整体,整体,图片编辑,Skinls,recent_8w,图片编辑二级功能,0.0
整体,美国,2026-06-29,整体,整体,整体,整体,图片编辑,Select Area,recent_8w,图片编辑二级功能,127.28571428571429
整体,整体,2026-07-06,整体,整体,整体,整体,图片编辑,V Line,recent_8w,图片编辑二级功能,2.5714285714285716
整体,整体,2026-06-08,整体,整体,整体,整体,图片编辑,AI Features,recent_8w,图片编辑二级功能,0.0
整体,整体,2026-07-13,整体,整体,整体,整体,图片编辑,Hair,recent_8w,图片编辑二级功能,20083.0
整体,英国,2026-06-15,整体,整体,整体,整体,图片编辑,Eyebrows,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-06-15,整体,整体,整体,整体,图片编辑,Effects,recent_8w,图片编辑二级功能,66.71428571428571
整体,巴西,2026-06-15,整体,整体,整体,整体,图片编辑,Whiten,recent_8w,图片编辑二级功能,0.42857142857142855
整体,整体,2026-06-15,整体,整体,整体,整体,图片编辑,Glowup,recent_8w,图片编辑二级功能,10329.42857142857
整体,巴西,2026-06-08,整体,整体,整体,整体,图片编辑,Glowup,recent_8w,图片编辑二级功能,2222.5714285714284
整体,整体,2026-07-20,整体,整体,整体,整体,图片编辑,Plump,recent_8w,图片编辑二级功能,4580.714285714285
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,Volume,recent_8w,图片编辑二级功能,0.14285714285714285
整体,整体,2026-06-29,整体,整体,整体,整体,图片编辑,Retouch,recent_8w,图片编辑二级功能,0.0
整体,整体,2026-07-27,整体,整体,整体,整体,图片编辑,Crop,recent_8w,图片编辑二级功能,47461.142857142855
整体,整体,2026-07-27,整体,整体,整体,整体,图片编辑,Eyeshadow,recent_8w,图片编辑二级功能,0.0
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,Shoulders,recent_8w,图片编辑二级功能,1.0
整体,巴西,2026-07-13,整体,整体,整体,整体,图片编辑,Matte,recent_8w,图片编辑二级功能,715.1428571428571
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,Acn,recent_8w,图片编辑二级功能,1.0
整体,整体,2026-06-15,整体,整体,整体,整体,图片编辑,Acne,recent_8w,图片编辑二级功能,76370.0
整体,整体,2026-06-29,整体,整体,整体,整体,图片编辑,Waist,recent_8w,图片编辑二级功能,2.857142857142857
整体,巴西,2026-07-06,整体,整体,整体,整体,图片编辑,Clean Skin,recent_8w,图片编辑二级功能,367.5
整体,英国,2026-07-27,整体,整体,整体,整体,图片编辑,Enrich,recent_8w,图片编辑二级功能,0.0
整体,美国,2026-07-06,整体,整体,整体,整体,图片编辑,Natural tan,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-06-29,整体,整体,整体,整体,图片编辑,Skin,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-06-29,整体,整体,整体,整体,图片编辑,Lips,recent_8w,图片编辑二级功能,0.8571428571428571
整体,英国,2026-07-27,整体,整体,整体,整体,图片编辑,AI Image,recent_8w,图片编辑二级功能,126.42857142857143
整体,巴西,2026-06-22,整体,整体,整体,整体,图片编辑,Matte,recent_8w,图片编辑二级功能,818.5
整体,巴西,2026-07-13,整体,整体,整体,整体,图片编辑,Expression,recent_8w,图片编辑二级功能,600.2857142857143
整体,巴西,2026-06-15,整体,整体,整体,整体,图片编辑,Background,recent_8w,图片编辑二级功能,663.7142857142857
