渠道自然,国家,日期,平台,DNU,_window,_query
整体,unknow,2026-06-15T00:00:00,Android,1.6666666666666667,recent_8w,全量维度
Organic,关岛,2026-06-08T00:00:00,Android,2.0,recent_8w,全量维度
Organic,巴基斯坦,2026-06-15T00:00:00,iOS,50.857142857142854,recent_8w,全量维度
整体,墨西哥,2026-06-08T00:00:00,整体,1392.7142857142858,recent_8w,全量维度
Organic,乌克兰,2026-06-29T00:00:00,iOS,400.14285714285717,recent_8w,全量维度
non-Organic,斯洛伐克,2026-06-08T00:00:00,Android,1.0,recent_8w,全量维度
non-Organic,斯洛伐克,2026-06-15T00:00:00,Android,1.5,recent_8w,全量维度
Organic,纳米比亚,2026-07-27T00:00:00,Android,1.8,recent_8w,全量维度
整体,捷克,2026-07-13T00:00:00,整体,58.42857142857143,recent_8w,全量维度
Organic,捷克,2026-06-22T00:00:00,Android,8.0,recent_8w,全量维度
non-Organic,斯洛伐克,2026-06-22T00:00:00,Android,1.5,recent_8w,全量维度
non-Organic,萨尔瓦多,2026-06-29T00:00:00,整体,2.0,recent_8w,全量维度
整体,加拿大,2026-06-15T00:00:00,整体,794.2857142857143,recent_8w,全量维度
整体,蒙古,2026-07-13T00:00:00,iOS,8.571428571428571,recent_8w,全量维度
Organic,法国,2026-07-06T00:00:00,Android,90.71428571428571,recent_8w,全量维度
Organic,坦桑尼亚,2026-06-29T00:00:00,整体,21.142857142857142,recent_8w,全量维度
整体,蒙古,2026-07-20T00:00:00,整体,6.285714285714286,recent_8w,全量维度
non-Organic,法国,2026-07-20T00:00:00,Android,15.285714285714286,recent_8w,全量维度
Organic,蒙古,2026-07-06T00:00:00,Android,1.3333333333333333,recent_8w,全量维度
Organic,斐济,2026-07-13T00:00:00,整体,2.6666666666666665,recent_8w,全量维度
Organic,美国,2026-07-06T00:00:00,iOS,3401.714285714286,recent_8w,全量维度
整体,斯洛伐克,2026-06-29T00:00:00,整体,21.142857142857142,recent_8w,全量维度
non-Organic,伊朗,2026-06-29T00:00:00,Android,2573.1428571428573,recent_8w,全量维度
non-Organic,比利时,2026-06-29T00:00:00,Android,2.1666666666666665,recent_8w,全量维度
non-Organic,利比亚,2026-06-29T00:00:00,iOS,1.0,recent_8w,全量维度
non-Organic,葡萄牙,2026-07-27T00:00:00,Android,3.4285714285714284,recent_8w,全量维度
non-Organic,南非,2026-06-15T00:00:00,整体,3.142857142857143,recent_8w,全量维度
整体,以色列,2026-07-13T00:00:00,iOS,93.85714285714286,recent_8w,全量维度
non-Organic,玻利维亚,2026-07-27T00:00:00,Android,1.75,recent_8w,全量维度
整体,以色列,2026-07-13T00:00:00,Android,16.285714285714285,recent_8w,全量维度
整体,南非,2026-06-22T00:00:00,整体,87.85714285714286,recent_8w,全量维度
non-Organic,巴基斯坦,2026-06-22T00:00:00,iOS,1.8,recent_8w,全量维度
整体,利比里亚,2026-06-15T00:00:00,Android,15.714285714285714,recent_8w,全量维度
non-Organic,玻利维亚,2026-06-29T00:00:00,整体,2.5714285714285716,recent_8w,全量维度
non-Organic,爱沙尼亚,2026-07-27T00:00:00,iOS,1.8,recent_8w,全量维度
整体,多哥,2026-07-13T00:00:00,整体,6.857142857142857,recent_8w,全量维度
