层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.1.埃塞俄比亚,埃塞俄比亚 DNU,1.25,1.25,1.6,1.666667,2.333333,1.4,2.0,3.0,0.0,0.0,0.0,0.0,0.0
1.1.基里巴斯,基里巴斯 DNU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.塔吉克斯坦,塔吉克斯坦 DNU,1.0,1.5,1.0,1.75,1.25,1.5,1.333333,1.666667,-0.5,-33.333333,-0.5,-0.300687,-0.001183
1.1.塞内加尔,塞内加尔 DNU,1.0,1.0,1.666667,1.714286,2.0,1.5,12.4,10.142857,0.0,0.0,0.0,0.0,0.0
1.1.塞尔维亚,塞尔维亚 DNU,3.571429,3.714286,4.0,4.333333,3.0,5.166667,4.166667,3.142857,-0.142857,-3.846154,-0.142857,-0.085911,-0.000338
1.1.塞拉利昂,塞拉利昂 DNU,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,-100.0,-1.0,-0.601375,-0.002365
1.1.塞浦路斯,塞浦路斯 DNU,2.0,1.75,1.5,2.4,2.166667,2.5,1.428571,1.8,0.25,14.285714,0.25,0.150344,0.000591
1.1.塞舌尔,塞舌尔 DNU,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.墨西哥,墨西哥 DNU,882.428571,1076.428571,985.714286,798.142857,520.714286,401.285714,1009.285714,1434.0,-194.0,-18.022561,-194.0,-116.666667,-0.458874
1.1.多哥,多哥 DNU,1.0,1.5,2.0,1.333333,1.0,1.5,1.0,0.0,-0.5,-33.333333,-0.5,-0.300687,-0.001183
1.1.多米尼克,多米尼克 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.多米尼加,多米尼加 DNU,3.571429,2.333333,2.0,2.833333,2.285714,2.571429,4.0,3.857143,1.238095,53.061224,1.238095,0.744559,0.002929
1.1.奥兰群岛,奥兰群岛 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.奥地利,奥地利 DNU,3.0,3.428571,3.428571,4.0,4.857143,5.428571,5.142857,4.142857,-0.428571,-12.5,-0.428571,-0.257732,-0.001014
1.1.委内瑞拉,委内瑞拉 DNU,6.142857,5.857143,6.857143,6.714286,6.142857,8.714286,8.428571,11.571429,0.285714,4.878049,0.285714,0.171821,0.000676
1.1.孟加拉,孟加拉 DNU,18.428571,21.428571,18.0,26.714286,30.285714,25.428571,26.0,23.571429,-3.0,-14.0,-3.0,-1.804124,-0.007096
1.1.安哥拉,安哥拉 DNU,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.333333,0.0,0.0,0.0,0.0,0.0
1.1.安圭拉,安圭拉 DNU,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.安提瓜和巴布达,安提瓜和巴布达 DNU,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.安道尔,安道尔 DNU,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.601375,0.002365
1.1.密克罗尼西亚联邦,密克罗尼西亚联邦 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0
1.1.尼加拉瓜,尼加拉瓜 DNU,1.666667,1.5,1.142857,1.75,1.4,1.333333,1.5,2.5,0.166667,11.111111,0.166667,0.100229,0.000394
1.1.尼日利亚,尼日利亚 DNU,27.857143,23.428571,20.571429,24.714286,17.857143,21.428571,14.285714,23.0,4.428571,18.902439,4.428571,2.66323,0.010475
1.1.尼日尔,尼日尔 DNU,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0
1.1.尼泊尔,尼泊尔 DNU,2.0,2.166667,2.8,2.6,3.285714,4.142857,4.0,4.571429,-0.166667,-7.692308,-0.166667,-0.100229,-0.000394
1.1.巴勒斯坦,巴勒斯坦 DNU,1.5,1.25,1.666667,1.6,1.5,1.0,2.166667,2.2,0.25,20.0,0.25,0.150344,0.000591
1.1.巴哈马,巴哈马 DNU,2.0,1.5,1.333333,1.0,1.25,2.0,1.0,1.333333,0.5,33.333333,0.5,0.300687,0.001183
1.1.巴基斯坦,巴基斯坦 DNU,7.0,7.714286,5.285714,7.285714,11.0,10.714286,11.0,14.571429,-0.714286,-9.259259,-0.714286,-0.429553,-0.00169
1.1.巴巴多斯,巴巴多斯 DNU,1.0,1.0,0.0,1.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.1.巴布亚新几内亚,巴布亚新几内亚 DNU,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.0,-100.0,-1.0,-0.601375,-0.002365
1.1.巴拉圭,巴拉圭 DNU,2.5,2.571429,2.0,2.142857,1.8,2.428571,3.571429,2.714286,-0.071429,-2.777778,-0.071429,-0.042956,-0.000169
1.1.巴拿马,巴拿马 DNU,2.142857,2.25,2.0,2.0,2.0,1.8,2.2,2.714286,-0.107143,-4.761905,-0.107143,-0.064433,-0.000253
1.1.巴林,巴林 DNU,2.0,1.0,1.0,0.0,1.333333,1.0,2.0,1.5,1.0,100.0,1.0,0.601375,0.002365
1.1.巴西,巴西 DNU,8663.571429,9044.857143,8907.571429,9484.428571,9784.428571,10793.142857,9326.857143,6631.285714,-381.285714,-4.215497,-381.285714,-229.295533,-0.901866
1.1.布基纳法索,布基纳法索 DNU,1.0,1.75,1.2,1.0,1.0,1.0,1.5,1.8,-0.75,-42.857143,-0.75,-0.451031,-0.001774
1.1.布隆迪,布隆迪 DNU,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-100.0,-1.0,-0.601375,-0.002365
1.1.希腊,希腊 DNU,8.571429,9.714286,9.571429,9.285714,6.285714,6.571429,5.428571,5.857143,-1.142857,-11.764706,-1.142857,-0.687285,-0.002703
1.1.帕劳,帕劳 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.库克群岛,库克群岛 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.库拉索,库拉索 DNU,1.0,1.5,0.0,1.0,1.0,0.0,1.0,0.0,-0.5,-33.333333,-0.5,-0.300687,-0.001183
1.1.开曼群岛,开曼群岛 DNU,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.德国,德国 DNU,294.571429,295.428571,273.857143,269.571429,214.857143,179.285714,210.285714,205.857143,-0.857143,-0.290135,-0.857143,-0.515464,-0.002027
1.1.意大利,意大利 DNU,17.428571,12.714286,13.428571,16.571429,15.571429,12.428571,12.0,9.428571,4.714286,37.078652,4.714286,2.835052,0.011151
1.1.所罗门群岛,所罗门群岛 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.拉脱维亚,拉脱维亚 DNU,3.857143,2.5,3.0,3.285714,3.285714,2.333333,2.6,2.714286,1.357143,54.285714,1.357143,0.816151,0.00321
1.1.挪威,挪威 DNU,3.0,1.833333,2.0,2.428571,2.571429,3.428571,2.0,2.0,1.166667,63.636364,1.166667,0.701604,0.00276
1.1.捷克,捷克 DNU,3.571429,2.333333,5.142857,3.428571,2.714286,3.166667,4.166667,3.0,1.238095,53.061224,1.238095,0.744559,0.002929
1.1.摩尔多瓦,摩尔多瓦 DNU,2.6,1.5,1.428571,3.0,1.666667,2.714286,3.285714,3.714286,1.1,73.333333,1.1,0.661512,0.002602
1.1.摩洛哥,摩洛哥 DNU,2.0,4.5,2.166667,2.6,2.0,3.142857,3.4,3.571429,-2.5,-55.555556,-2.5,-1.503436,-0.005913
1.1.摩纳哥,摩纳哥 DNU,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
1.1.文莱,文莱 DNU,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.1.斐济,斐济 DNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.斯威士兰,斯威士兰 DNU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.斯洛伐克,斯洛伐克 DNU,3.0,1.5,2.0,1.833333,1.75,1.6,1.4,1.571429,1.5,100.0,1.5,0.902062,0.003548
1.1.斯洛文尼亚,斯洛文尼亚 DNU,1.0,1.333333,3.0,1.0,1.0,1.0,1.5,1.2,-0.333333,-25.0,-0.333333,-0.200458,-0.000788
1.1.斯里兰卡,斯里兰卡 DNU,1.0,1.0,1.666667,1.333333,2.0,1.714286,2.0,2.166667,0.0,0.0,0.0,0.0,0.0
1.1.新加坡,新加坡 DNU,2.857143,2.857143,2.333333,3.142857,3.333333,3.0,3.0,2.833333,0.0,0.0,0.0,0.0,0.0
1.1.新喀里多尼亚,新喀里多尼亚 DNU,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0
1.1.新西兰,新西兰 DNU,1.75,2.0,1.25,1.285714,1.666667,2.142857,1.833333,2.0,-0.25,-12.5,-0.25,-0.150344,-0.000591
1.1.日本,日本 DNU,17.857143,9.142857,3.285714,3.285714,4.142857,4.0,2.142857,2.5,8.714286,95.3125,8.714286,5.24055,0.020612
1.1.智利,智利 DNU,9.714286,7.0,5.0,4.714286,8.0,8.714286,9.571429,9.0,2.714286,38.77551,2.714286,1.632303,0.00642
1.1.柬埔寨,柬埔寨 DNU,1.0,1.333333,1.666667,1.0,1.0,0.0,1.0,1.666667,-0.333333,-25.0,-0.333333,-0.200458,-0.000788
