层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
2.2.泰国,泰国 新增UV,36.285714,32.857143,35.857143,39.285714,44.857143,46.0,47.285714,47.428571,3.428571,10.434783,2.7046e-06,-3.863733,0.001893
2.2.泽西岛,泽西岛 新增UV,1.6,1.5,2.0,1.333333,1.5,1.333333,1.0,2.25,0.1,6.666667,-3.156e-07,0.450924,-0.000221
2.2.津巴布韦,津巴布韦 新增UV,5.142857,5.0,6.285714,7.714286,6.142857,9.428571,9.0,8.428571,0.142857,2.857143,1.511e-07,-0.21591,0.000106
2.2.洪都拉斯,洪都拉斯 新增UV,19.428571,15.714286,16.857143,20.428571,17.285714,17.714286,18.857143,18.571429,3.714286,23.636364,6.7308e-06,-9.615497,0.00471
2.2.海地,海地 新增UV,15.571429,16.428571,17.142857,16.571429,18.428571,22.142857,19.428571,16.285714,-0.857143,-5.217391,-1.6898e-06,2.414054,-0.001183
2.2.澳大利亚,澳大利亚 新增UV,271.142857,271.428571,314.428571,370.142857,275.571429,268.0,266.714286,307.857143,-0.285714,-0.105263,4.405e-07,-0.629309,0.000308
2.2.爱尔兰,爱尔兰 新增UV,80.714286,87.285714,79.285714,91.571429,89.428571,77.428571,69.714286,78.0,-6.571429,-7.528642,-1.8914e-06,2.702071,-0.001324
2.2.爱沙尼亚,爱沙尼亚 新增UV,36.857143,39.142857,47.0,37.857143,32.571429,24.857143,20.0,20.285714,-2.285714,-5.839416,-3.1788e-06,4.541096,-0.002225
2.2.牙买加,牙买加 新增UV,22.142857,19.571429,20.571429,21.0,23.142857,20.428571,20.142857,19.428571,2.571429,13.138686,3.0077e-06,-4.296647,0.002105
2.2.特克斯和凯科斯群岛,特克斯和凯科斯群岛 新增UV,2.0,1.333333,1.666667,1.75,2.25,2.0,2.0,2.0,0.666667,50.0,1.6772e-06,-2.396034,0.001174
2.2.特立尼达和多巴哥,特立尼达和多巴哥 新增UV,6.714286,5.857143,7.0,7.571429,7.285714,8.0,9.428571,7.142857,0.857143,14.634146,9.652e-07,-1.378928,0.000676
2.2.玻利维亚,玻利维亚 新增UV,24.285714,23.0,24.571429,24.857143,23.857143,26.428571,27.571429,27.571429,1.285714,5.590062,6.289e-07,-0.898491,0.00044
2.2.瑙鲁,瑙鲁 新增UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2.2.瑞典,瑞典 新增UV,140.571429,153.571429,157.142857,147.714286,116.714286,86.428571,72.0,80.0,-13.0,-8.465116,-1.95132e-05,27.876017,-0.013656
2.2.瑞士,瑞士 新增UV,76.142857,71.0,90.142857,77.285714,73.714286,60.428571,60.0,67.714286,5.142857,7.243461,2.1748e-06,-3.106846,0.001522
2.2.瓜德罗普,瓜德罗普 新增UV,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.4,0.0,0.0,1.32e-08,-0.018848,9e-06
2.2.瓦利斯和富图纳群岛,瓦利斯和富图纳群岛 新增UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
