m.date_p,m.os_type,code,m.is_new,country,duration,sub_suc_cnt,paid_cnt,trial_cnt,dismiss_cnt,new_gmv,renew_gmv,after_paid_gmv
20260722,iOS,实验组A,New,澳大利亚,年,2,1,1,0,28.05,0,0
20260722,iOS,实验组A,Old,巴西,分期年卡,4,4,0,0,6.28,0,0
20260722,iOS,实验组B,Old,巴西,月,12,12,0,2,36.1,0,0
20260723,iOS,实验组B,Old,其他,年,2,2,0,1,43.04,0,0
20260724,iOS,实验组A,New,巴西,年,10,1,9,3,8.92,0,0
20260725,iOS,实验组B,Old,其他,分期年卡,4,4,0,0,18.53,0,0
20260717,iOS,实验组B,Old,澳大利亚,分期年卡,1,1,0,0,4.44,0,0
20260718,iOS,实验组A,Old,英国,月,9,9,0,2,89.78,0,0
20260719,iOS,对照组,New,英国,年,8,2,8,7,77.69,0,0
20260721,iOS,对照组,Old,澳大利亚,月,2,2,0,0,17.83,0,0
20260722,iOS,实验组B,Old,巴西,年,21,7,14,8,56.34,0,0
20260723,iOS,实验组A,Old,澳大利亚,分期年卡,1,1,0,0,4.44,0,0
20260723,iOS,实验组B,Old,澳大利亚,月,2,2,0,0,15.98,0,0
20260724,iOS,对照组,New,巴西,年,9,2,7,3,11.75,0,0
20260726,iOS,实验组B,Old,英国,分期年卡,9,9,0,0,41.9,0,0
20260726,iOS,对照组,Old,巴西,周,2,2,0,0,3.1,0,0
20260717,iOS,实验组A,New,英国,年,1,0,1,0,0.0,0,0
20260718,iOS,实验组A,Old,英国,年,10,1,9,8,27.46,0,0
20260718,iOS,对照组,Old,英国,月,2,2,0,1,20.39,0,0
20260723,iOS,实验组B,Old,澳大利亚,年,3,1,2,0,27.97,0,0
20260725,iOS,实验组A,New,英国,月,1,1,0,1,8.15,0,0
20260725,iOS,实验组B,Old,澳大利亚,分期年卡,3,3,0,0,13.32,0,0
20260725,iOS,对照组,Old,巴西,周,1,1,0,0,1.55,0,0
20260717,iOS,对照组,New,英国,年,4,1,4,3,38.91,0,10.1
20260718,iOS,对照组,Old,英国,年,16,3,14,14,93.77,0,0
20260719,iOS,实验组A,Old,澳大利亚,周,1,1,0,0,5.33,5.33,5.33
20260720,iOS,实验组B,New,巴西,年,10,4,6,4,39.31,0,0
20260721,iOS,实验组A,New,巴西,月,1,1,0,1,3.23,0,0
20260725,iOS,实验组A,New,英国,年,8,1,7,3,12.69,0,0
20260725,iOS,对照组,New,英国,月,2,2,0,0,20.19,0,0
20260726,iOS,实验组A,New,其他,年,4,0,4,3,0.0,0,0
20260726,iOS,对照组,New,英国,年,11,1,10,6,27.19,0,0
20260718,iOS,实验组B,New,澳大利亚,年,1,0,1,1,0.0,0,0
20260721,iOS,实验组A,New,巴西,年,6,0,6,2,0.0,0,0
20260721,iOS,对照组,New,巴西,月,3,3,0,0,9.68,0,0
20260724,iOS,实验组B,Old,澳大利亚,分期年卡,1,1,0,0,4.45,0,0
20260725,iOS,对照组,New,英国,年,4,1,3,3,27.2,0,0
20260726,iOS,实验组A,New,澳大利亚,月,1,1,0,1,8.88,0,0
20260726,iOS,对照组,New,其他,年,1,0,1,0,0.0,0,0
20260717,iOS,实验组B,Old,巴西,月,3,3,0,0,9.62,0,0
20260721,iOS,对照组,New,巴西,年,9,2,7,3,11.71,0,0
20260722,iOS,实验组A,Old,英国,分期年卡,3,3,0,0,13.79,0,0
20260722,iOS,实验组B,Old,英国,月,4,4,0,0,40.52,0,0
20260723,iOS,实验组B,New,巴西,年,2,0,2,1,0.0,0,0
20260724,iOS,实验组A,New,英国,年,6,0,6,4,0.0,0,0
20260726,iOS,实验组A,Old,巴西,分期年卡,14,14,0,0,21.84,0,0
20260726,iOS,实验组B,Old,巴西,月,37,37,0,7,118.38,0,0
20260719,iOS,实验组B,Old,其他,月,5,5,0,1,28.69,0,0
20260720,iOS,实验组A,Old,其他,月,4,4,0,3,33.73,0,0
20260720,iOS,实验组B,Old,巴西,周,1,1,0,0,1.55,0,0
