层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%
1.阿塞拜疆.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,2274.0,1666.0,1520.0,995.0,1015.0,912.0,1056.0,1111.0,1354.0,1630.0,1094.0,1666.0,1549.0,1389.0,608.0,36.494598
1.阿塞拜疆.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,5360.0,4944.0,4375.0,3856.0,4018.0,4305.0,4616.0,4969.0,4996.0,6675.0,6242.0,7600.0,7111.0,7132.0,416.0,8.414239
1.阿富汗,阿富汗MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,2102.0,2353.0,2619.0,2668.0,2970.0,2605.0,3171.0,3202.0,2774.0,3846.0,4100.0,4609.0,4971.0,5452.0,-251.0,-10.667233
1.阿富汗.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,323.0,384.0,393.0,457.0,545.0,394.0,532.0,550.0,422.0,542.0,485.0,596.0,651.0,840.0,-61.0,-15.885417
1.阿富汗.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,18.0,23.0,37.0,54.0,31.0,27.0,31.0,12.0,13.0,11.0,36.0,30.0,31.0,45.0,-5.0,-21.73913
1.阿富汗.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,305.0,361.0,356.0,403.0,514.0,367.0,501.0,538.0,409.0,531.0,449.0,566.0,620.0,795.0,-56.0,-15.512465
1.阿富汗.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,1779.0,1969.0,2226.0,2211.0,2425.0,2211.0,2639.0,2652.0,2352.0,3304.0,3615.0,4013.0,4320.0,4612.0,-190.0,-9.649568
1.阿尔及利亚,阿尔及利亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,4308.0,3789.0,4487.0,4051.0,3657.0,3216.0,4061.0,4167.0,4450.0,6351.0,5595.0,6291.0,6222.0,5342.0,519.0,13.697546
1.阿尔及利亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1590.0,1128.0,1734.0,1329.0,1015.0,806.0,1120.0,909.0,1191.0,2214.0,1536.0,1854.0,1956.0,1337.0,462.0,40.957447
1.阿尔及利亚.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,50.0,62.0,82.0,96.0,97.0,69.0,72.0,44.0,37.0,33.0,162.0,172.0,138.0,120.0,-12.0,-19.354839
