层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.关岛,关岛MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,331.0,304.0,284.0,233.0,299.0,372.0,304.0,397.0,320.0,309.0,328.0,325.0,,,27.0,8.881579,27.0,0.011216,0.000468
1.关岛.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,50.0,52.0,40.0,21.0,32.0,68.0,41.0,31.0,25.0,16.0,25.0,36.0,,,-2.0,-3.846154,-2.0,-0.000831,-3.5e-05
1.关岛.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,281.0,252.0,244.0,212.0,267.0,304.0,263.0,366.0,295.0,293.0,303.0,289.0,,,29.0,11.507937,29.0,0.012047,0.000502
1.冈比亚,冈比亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,2823.0,2122.0,2537.0,1532.0,1426.0,1314.0,1191.0,1507.0,1386.0,1514.0,1583.0,1959.0,,,701.0,33.034873,701.0,0.291207,0.012138
1.冈比亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1163.0,600.0,957.0,347.0,267.0,216.0,140.0,164.0,188.0,187.0,223.0,345.0,,,563.0,93.833333,563.0,0.23388,0.009749
1.冈比亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,1660.0,1522.0,1580.0,1185.0,1159.0,1098.0,1051.0,1343.0,1198.0,1327.0,1360.0,1614.0,,,138.0,9.067017,138.0,0.057328,0.00239
1.冰岛,冰岛MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,1157.0,1130.0,1229.0,1028.0,1289.0,1300.0,1271.0,1446.0,1186.0,1279.0,1285.0,1312.0,,,27.0,2.389381,27.0,0.011216,0.000468
1.冰岛.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,100.0,100.0,113.0,79.0,114.0,130.0,133.0,86.0,52.0,68.0,37.0,58.0,,,0.0,0.0,0.0,0.0,0.0
1.冰岛.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,1057.0,1030.0,1116.0,949.0,1175.0,1170.0,1138.0,1360.0,1134.0,1211.0,1248.0,1254.0,,,27.0,2.621359,27.0,0.011216,0.000468
1.几内亚,几内亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,915.0,786.0,764.0,654.0,705.0,667.0,634.0,787.0,678.0,750.0,716.0,703.0,,,129.0,16.412214,129.0,0.053589,0.002234
1.几内亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,334.0,283.0,274.0,166.0,174.0,176.0,169.0,198.0,133.0,161.0,171.0,159.0,,,51.0,18.021201,51.0,0.021186,0.000883
1.几内亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,581.0,503.0,490.0,488.0,531.0,491.0,465.0,589.0,545.0,589.0,545.0,544.0,,,78.0,15.506958,78.0,0.032403,0.001351
1.几内亚比绍,几内亚比绍MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,85.0,85.0,73.0,67.0,90.0,73.0,77.0,84.0,88.0,97.0,96.0,92.0,,,0.0,0.0,0.0,0.0,0.0
1.几内亚比绍.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,28.0,29.0,14.0,23.0,16.0,20.0,17.0,11.0,16.0,28.0,21.0,12.0,,,-1.0,-3.448276,-1.0,-0.000415,-1.7e-05
1.几内亚比绍.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,57.0,56.0,59.0,44.0,74.0,53.0,60.0,73.0,72.0,69.0,75.0,80.0,,,1.0,1.785714,1.0,0.000415,1.7e-05
1.列支敦士登,列支敦士登MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,186.0,65.0,80.0,51.0,57.0,49.0,51.0,48.0,43.0,39.0,50.0,33.0,,,121.0,186.153846,121.0,0.050265,0.002095
1.列支敦士登.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,11.0,6.0,2.0,2.0,8.0,2.0,5.0,6.0,3.0,3.0,4.0,3.0,,,5.0,83.333333,5.0,0.002077,8.7e-05
