层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
1.1.委内瑞拉,委内瑞拉 新增次留,0.08,0.093023,0.121951,0.125,0.042553,0.093023,0.098361,-0.013023,-14.0
1.1.孟加拉,孟加拉 新增次留,0.150794,0.170543,0.18,0.150794,0.139037,0.20283,0.162921,-0.019749,-11.580087
1.1.安哥拉,安哥拉 新增次留,0.0,0.0,0.0,,0.333333,0.333333,0.0,0.0,
1.1.安圭拉,安圭拉 新增次留,,0.0,0.0,,0.0,,,,
1.1.安提瓜和巴布达,安提瓜和巴布达 新增次留,,0.0,1.0,0.0,,0.0,,,
1.1.安道尔,安道尔 新增次留,0.0,0.0,,0.5,1.0,0.0,,0.0,
1.1.密克罗尼西亚联邦,密克罗尼西亚联邦 新增次留,,,,,,,,,
1.1.尼加拉瓜,尼加拉瓜 新增次留,0.0,0.2,0.333333,0.25,0.142857,0.0,0.5,-0.2,-100.0
1.1.尼日利亚,尼日利亚 新增次留,0.162651,0.235897,0.268293,0.229167,0.242775,0.296,0.193333,-0.073247,-31.050288
1.1.尼日尔,尼日尔 新增次留,,1.0,0.0,0.0,,0.0,,,
1.1.尼泊尔,尼泊尔 新增次留,0.285714,0.166667,0.153846,0.142857,0.230769,0.130435,0.103448,0.119048,71.428571
1.1.巴勒斯坦,巴勒斯坦 新增次留,0.25,0.166667,0.4,0.1,0.25,0.0,0.2,0.083333,50.0
1.1.巴哈马,巴哈马 新增次留,0.111111,0.125,0.833333,0.75,0.0,0.0,0.2,-0.013889,-11.111111
1.1.巴基斯坦,巴基斯坦 新增次留,0.162791,0.122449,0.148148,0.189189,0.176471,0.194805,0.12,0.040342,32.945736
1.1.巴巴多斯,巴巴多斯 新增次留,0.5,1.0,0.5,,0.333333,0.0,0.333333,-0.5,-50.0
1.1.巴布亚新几内亚,巴布亚新几内亚 新增次留,0.0,,0.0,0.0,,,0.0,,
1.1.巴拉圭,巴拉圭 新增次留,0.086957,0.0,0.055556,0.25,0.066667,0.111111,0.117647,0.086957,
1.1.巴拿马,巴拿马 新增次留,0.0,0.133333,0.222222,0.1,0.2,0.0,0.0,-0.133333,-100.0
1.1.巴林,巴林 新增次留,0.0,0.0,0.0,1.0,,0.25,0.0,0.0,
1.1.巴西,巴西 新增次留,0.093253,0.108418,0.102442,0.103379,0.082692,0.085734,0.084617,-0.015165,-13.987841
1.1.布基纳法索,布基纳法索 新增次留,0.333333,0.0,0.571429,0.166667,0.0,0.0,1.0,0.333333,
1.1.布隆迪,布隆迪 新增次留,0.0,,0.0,0.5,,0.0,0.0,,
1.1.希腊,希腊 新增次留,0.166667,0.266667,0.25,0.149254,0.292308,0.204545,0.108696,-0.1,-37.5
1.1.帕劳,帕劳 新增次留,,,,,,,,,
1.1.库克群岛,库克群岛 新增次留,,,,,,,,,
1.1.库拉索,库拉索 新增次留,,0.0,0.0,,0.0,0.0,,,
1.1.开曼群岛,开曼群岛 新增次留,0.0,1.0,0.0,,,0.0,,-1.0,-100.0
1.1.德国,德国 新增次留,0.130945,0.131911,0.132012,0.125196,0.121887,0.144947,0.113944,-0.000966,-0.732115
1.1.意大利,意大利 新增次留,0.107692,0.147541,0.213483,0.138298,0.241379,0.100917,0.172414,-0.039849,-27.008547
1.1.所罗门群岛,所罗门群岛 新增次留,,,,,,,,,
1.1.拉脱维亚,拉脱维亚 新增次留,0.3,0.111111,0.133333,0.095238,0.0,0.130435,0.071429,0.188889,170.0
1.1.挪威,挪威 新增次留,0.076923,0.238095,0.090909,0.5,0.176471,0.277778,0.166667,-0.161172,-67.692308
1.1.捷克,捷克 新增次留,0.136364,0.12,0.071429,0.055556,0.083333,0.0,0.210526,0.016364,13.636364
1.1.摩尔多瓦,摩尔多瓦 新增次留,0.133333,0.153846,0.0,0.0,0.166667,0.1,0.210526,-0.020513,-13.333333
1.1.摩洛哥,摩洛哥 新增次留,0.133333,0.214286,0.074074,0.230769,0.153846,0.214286,0.181818,-0.080952,-37.777778
1.1.摩纳哥,摩纳哥 新增次留,,,,1.0,,,,,
1.1.文莱,文莱 新增次留,,0.0,0.0,0.0,0.0,0.0,0.0,,
1.1.斐济,斐济 新增次留,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,
1.1.斯威士兰,斯威士兰 新增次留,,,,,,0.0,,,
1.1.斯洛伐克,斯洛伐克 新增次留,0.0,0.166667,0.111111,0.25,0.090909,0.0,0.125,-0.166667,-100.0
