层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
1.1.新加坡,新加坡 DNU,3.142857,2.857143,2.857143,2.333333,3.142857,3.333333,3.0,0.285714,10.0
1.1.新喀里多尼亚,新喀里多尼亚 DNU,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.1.新西兰,新西兰 DNU,1.666667,1.75,2.0,1.25,1.285714,1.666667,2.142857,-0.083333,-4.761905
1.1.日本,日本 DNU,2.857143,17.857143,9.142857,3.285714,3.285714,4.142857,4.0,-15.0,-84.0
1.1.智利,智利 DNU,13.428571,9.714286,7.0,5.0,4.714286,8.0,8.714286,3.714286,38.235294
1.1.柬埔寨,柬埔寨 DNU,1.0,1.0,1.333333,1.666667,1.0,1.0,0.0,0.0,0.0
1.1.根西岛,根西岛 DNU,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
1.1.格林纳达,格林纳达 DNU,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.1.格陵兰,格陵兰 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.格鲁吉亚,格鲁吉亚 DNU,3.5,2.285714,2.285714,3.285714,3.285714,2.166667,2.428571,1.214286,53.125
1.1.比利时,比利时 DNU,3.285714,3.5,3.142857,3.166667,2.666667,3.571429,3.142857,-0.214286,-6.122449
1.1.毛里塔尼亚,毛里塔尼亚 DNU,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1.1.毛里求斯,毛里求斯 DNU,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.5,
1.1.汤加,汤加 DNU,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,-100.0
1.1.沙特阿拉伯,沙特阿拉伯 DNU,1.8,3.333333,2.714286,3.142857,4.285714,6.333333,4.714286,-1.533333,-46.0
1.1.法国,法国 DNU,35.428571,47.857143,58.571429,62.428571,66.571429,48.857143,36.857143,-12.428571,-25.970149
1.1.法属圣马丁,法属圣马丁 DNU,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
1.1.法属圭亚那,法属圭亚那 DNU,1.0,0.0,1.0,1.0,1.333333,1.0,1.0,1.0,
1.1.法属波利尼西亚,法属波利尼西亚 DNU,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-100.0
1.1.法罗群岛,法罗群岛 DNU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
1.1.波兰,波兰 DNU,10.571429,9.857143,6.571429,8.142857,9.857143,9.714286,8.285714,0.714286,7.246377
1.1.波多黎各,波多黎各 DNU,3.0,2.571429,2.857143,2.166667,3.142857,2.428571,3.75,0.428571,16.666667
1.1.波黑,波黑 DNU,1.4,1.5,1.5,1.333333,1.333333,1.5,2.0,-0.1,-6.666667
1.1.泰国,泰国 DNU,2.666667,2.166667,1.5,1.428571,1.833333,2.2,3.142857,0.5,23.076923
1.1.泽西岛,泽西岛 DNU,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-100.0
1.1.津巴布韦,津巴布韦 DNU,1.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,-50.0
1.1.洪都拉斯,洪都拉斯 DNU,2.333333,1.833333,1.6,2.2,1.25,2.0,2.166667,0.5,27.272727
1.1.海地,海地 DNU,1.666667,2.0,2.2,1.0,1.25,1.0,1.333333,-0.333333,-16.666667
1.1.澳大利亚,澳大利亚 DNU,123.0,165.0,170.857143,277.857143,335.714286,80.142857,76.714286,-42.0,-25.454545
1.1.爱尔兰,爱尔兰 DNU,3.0,3.285714,4.857143,3.0,3.666667,3.666667,3.428571,-0.285714,-8.695652
1.1.爱沙尼亚,爱沙尼亚 DNU,2.285714,2.6,2.0,1.4,1.833333,1.6,1.833333,-0.314286,-12.087912
1.1.牙买加,牙买加 DNU,1.6,2.0,1.25,1.333333,1.333333,1.6,1.0,-0.4,-20.0
1.1.特克斯和凯科斯群岛,特克斯和凯科斯群岛 DNU,1.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5,50.0
1.1.特立尼达和多巴哥,特立尼达和多巴哥 DNU,1.0,1.75,1.0,1.0,2.0,1.5,1.0,-0.75,-42.857143
1.1.玻利维亚,玻利维亚 DNU,2.571429,2.714286,2.428571,3.428571,4.333333,3.4,3.0,-0.142857,-5.263158
1.1.瑞典,瑞典 DNU,12.571429,15.714286,15.0,5.142857,4.285714,4.285714,3.166667,-3.142857,-20.0
1.1.瑞士,瑞士 DNU,6.571429,5.571429,5.428571,4.285714,4.857143,3.428571,5.714286,1.0,17.948718
1.1.瓜德罗普,瓜德罗普 DNU,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
1.1.瓦利斯和富图纳群岛,瓦利斯和富图纳群岛 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.瓦努阿图,瓦努阿图 DNU,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
1.1.留尼汪岛,留尼汪岛 DNU,1.0,0.0,1.0,1.5,1.0,2.0,0.0,1.0,
1.1.白俄罗斯,白俄罗斯 DNU,17.428571,14.285714,12.714286,16.857143,13.571429,16.857143,18.571429,3.142857,22.0
1.1.百慕大,百慕大 DNU,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
1.1.直布罗陀,直布罗陀 DNU,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,-100.0
1.1.福克兰群岛,福克兰群岛 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.科威特,科威特 DNU,1.6,1.0,1.6,2.0,1.75,1.25,1.75,0.6,60.0
1.1.科摩罗,科摩罗 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.科特迪瓦,科特迪瓦 DNU,1.0,2.0,1.4,1.333333,1.0,1.333333,1.0,-1.0,-50.0
1.1.科索沃,科索沃 DNU,1.5,1.5,1.0,0.0,2.0,1.0,1.0,0.0,0.0
1.1.秘鲁,秘鲁 DNU,9.0,9.571429,10.142857,10.0,8.428571,9.857143,12.142857,-0.571429,-5.970149
1.1.突尼斯,突尼斯 DNU,1.714286,1.666667,2.0,2.166667,2.5,2.25,1.0,0.047619,2.857143
1.1.立陶宛,立陶宛 DNU,2.166667,2.285714,1.333333,1.571429,1.5,1.833333,1.4,-0.119048,-5.208333
1.1.索马里,索马里 DNU,1.0,1.0,1.333333,1.6,1.5,1.333333,1.5,0.0,0.0
1.1.约旦,约旦 DNU,1.285714,1.833333,2.75,1.857143,2.142857,3.0,3.285714,-0.547619,-29.87013
1.1.纳米比亚,纳米比亚 DNU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1.1.缅甸,缅甸 DNU,3.333333,1.333333,1.6,2.285714,4.857143,2.0,1.4,2.0,150.0
1.1.罗马尼亚,罗马尼亚 DNU,3.714286,2.666667,4.714286,4.6,2.857143,3.142857,4.428571,1.047619,39.285714
1.1.美国,美国 DNU,2352.571429,2607.428571,3067.285714,3266.571429,4213.142857,4276.857143,2819.428571,-254.857143,-9.774271
1.1.美属维尔京群岛,美属维尔京群岛 DNU,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,
1.1.老挝,老挝 DNU,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
1.1.肯尼亚,肯尼亚 DNU,1.714286,1.6,1.0,2.333333,2.714286,1.8,3.4,0.114286,7.142857
1.1.芬兰,芬兰 DNU,9.0,6.714286,6.428571,4.714286,3.714286,5.571429,3.666667,2.285714,34.042553
1.1.苏丹,苏丹 DNU,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0
1.1.苏里南,苏里南 DNU,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,-100.0
