日期,平台,国家,订阅类型,订阅毛利（剔除退款，$）,新增毛利,续订毛利
2025-06-01,整体,英国,整体,440374.68,203901.67699999997,270874.37200000003
2025-06-01,整体,英属印度洋领地,整体,0.0,,
2025-06-01,整体,英属维尔京群岛,整体,38.5,30.8,7.7
2025-06-01,整体,荷兰,整体,18424.238000000005,8595.626,10223.463
2025-06-01,整体,荷属圣马丁,整体,0.0,,
2025-06-01,整体,荷属安的列斯,整体,0.0,,
2025-06-01,整体,莫桑比克,整体,291.595,100.139,191.45600000000002
2025-06-01,整体,莱索托,整体,0.0,,
2025-06-01,整体,菲律宾,整体,11540.185,6538.5650000000005,5893.562
2025-06-01,整体,萨尔瓦多,整体,1070.469,453.98999999999995,650.0790000000001
2025-06-01,整体,萨摩亚,整体,0.0,,
2025-06-01,整体,葡萄牙,整体,22702.051,13886.866,10317.470000000003
2025-06-01,整体,蒙古,整体,66.91,21.0,57.81
2025-06-01,整体,蒙塞拉特岛,整体,0.0,,
2025-06-01,整体,西班牙,整体,26748.149999999998,12921.737,15333.960999999996
2025-06-01,整体,诺福克岛,整体,0.0,,
2025-06-01,整体,贝宁,整体,2.626,2.626,0.0
2025-06-01,整体,赞比亚,整体,201.51299999999998,50.416,151.097
2025-06-01,整体,赤道几内亚,整体,0.0,,
2025-06-01,整体,越南,整体,593.7030000000001,407.972,261.54499999999996
2025-06-01,整体,阿塞拜疆,整体,1008.978,593.8749999999999,441.12500000000006
2025-06-01,整体,阿富汗,整体,0.0,,
2025-06-01,整体,阿尔及利亚,整体,21.772000000000002,7.122,14.649999999999999
2025-06-01,整体,阿尔巴尼亚,整体,1194.516,679.522,551.154
2025-06-01,整体,阿曼,整体,654.7000000000002,327.7710000000001,326.92900000000003
2025-06-01,整体,阿根廷,整体,11986.169999999996,5632.555,6803.642999999998
2025-06-01,整体,阿联酋,整体,12156.488000000003,5196.379,7076.465000000002
2025-06-01,整体,阿鲁巴,整体,47.620999999999995,17.246,30.375
2025-06-01,整体,韩国,整体,2914.452999999999,1635.821,1548.8070000000002
2025-06-01,整体,香港,整体,625.933,380.85999999999996,274.356
2025-06-01,整体,马尔代夫,整体,48.134000000000015,6.449999999999999,41.684
2025-06-01,整体,马恩岛,整体,0.0,,
2025-06-01,整体,马拉维,整体,47.248000000000005,36.048,11.2
2025-06-01,整体,马提尼克岛,整体,18.543,0.0,18.543
2025-06-01,整体,马来西亚,整体,2709.289,1308.8990000000003,1472.6509999999996
2025-06-01,整体,马约特,整体,0.0,,
2025-06-01,整体,马绍尔群岛,整体,0.0,,
2025-06-01,整体,马耳他,整体,1098.5,584.305,555.3009999999998
2025-06-01,整体,马达加斯加,整体,30.799999999999997,0.0,30.799999999999997
2025-06-01,整体,马里,整体,84.63000000000001,72.73,11.9
2025-06-01,整体,黎巴嫩,整体,1020.859,590.454,481.417
2025-06-01,整体,黑山,整体,955.2110000000001,719.673,338.654
2025-07-01,整体,不丹,整体,0.0,,
2025-07-01,整体,东帝汶,整体,0.0,,
2025-07-01,整体,中国,整体,,315.397,763.7270000000001
2025-07-01,整体,中国内地,整体,1021.9300000000001,,
2025-07-01,整体,中非,整体,0.0,,
2025-07-01,整体,丹麦,整体,12109.129,4407.495000000001,8268.718
2025-07-01,整体,乌克兰,整体,28580.752000000008,13605.817000000005,16581.46
