渠道自然,国家,日期,平台,新老,MAU
Organic,埃及,2025-07-01,Android,整体,15921.0
non-Organic,索马里,2025-12-01,iOS,整体,28.0
整体,阿尔及利亚,2025-11-01,iOS,整体,1297.0
整体,索马里,2025-11-01,整体,整体,1927.0
Organic,斯威士兰,2026-02-01,整体,整体,100.0
non-Organic,基里巴斯,2026-02-01,Android,整体,1.0
Organic,安道尔,2026-02-01,iOS,整体,403.0
整体,乌拉圭,2026-07-01,整体,整体,3098.0
整体,圣卢西亚,2026-07-01,整体,整体,603.0
Organic,阿尔及利亚,2026-07-01,整体,整体,4155.0
整体,卢森堡,2026-07-01,整体,整体,1403.0
整体,也门,2026-07-01,Android,整体,652.0
non-Organic,圣卢西亚,2026-05-01,整体,整体,55.0
整体,斯威士兰,2026-04-01,iOS,整体,53.0
整体,阿联酋,2025-08-01,Android,整体,4050.0
non-Organic,克罗地亚,2025-08-01,Android,整体,390.0
Organic,阿尔及利亚,2026-01-01,Android,整体,2629.0
Organic,塞拉利昂,2026-01-01,Android,整体,432.0
整体,津巴布韦,2026-06-01,整体,整体,909.0
non-Organic,瑙鲁,2025-06-01,Android,整体,1.0
non-Organic,阿联酋,2025-06-01,整体,整体,2753.0
整体,瑙鲁,2025-06-01,iOS,整体,1.0
non-Organic,阿尔及利亚,2025-06-01,整体,整体,690.0
整体,芬兰,2025-07-01,整体,整体,8766.0
non-Organic,柬埔寨,2025-12-01,整体,整体,198.0
Organic,埃及,2025-12-01,iOS,整体,12257.0
Organic,也门,2025-09-01,iOS,整体,75.0
整体,芬兰,2025-11-01,整体,整体,11782.0
non-Organic,克罗地亚,2026-02-01,整体,整体,223.0
Organic,斯威士兰,2026-02-01,iOS,整体,49.0
Organic,叙利亚,2026-02-01,iOS,整体,711.0
整体,圣多美和普林西比,2026-02-01,Android,整体,32.0
Organic,津巴布韦,2026-07-01,整体,整体,858.0
non-Organic,阿尔及利亚,2026-05-01,iOS,整体,52.0
non-Organic,塞浦路斯,2026-05-01,整体,整体,286.0
non-Organic,阿联酋,2026-03-01,iOS,整体,964.0
non-Organic,叙利亚,2026-04-01,iOS,整体,74.0
Organic,安道尔,2026-04-01,整体,整体,199.0
整体,法属圣马丁,2025-08-01,Android,整体,9.0
Organic,土库曼斯坦,2025-08-01,Android,整体,334.0
Organic,芬兰,2025-08-01,iOS,整体,5798.0
non-Organic,阿联酋,2026-01-01,Android,整体,490.0
non-Organic,卢森堡,2026-01-01,整体,整体,31.0
non-Organic,马拉维,2026-01-01,整体,整体,199.0
整体,叙利亚,2026-01-01,整体,整体,4527.0
整体,法国,2026-06-01,iOS,整体,53851.0
Organic,圣卢西亚,2026-06-01,Android,整体,94.0
整体,克罗地亚,2026-06-01,整体,整体,16672.0
整体,尼日利亚,2026-06-01,整体,整体,67020.0
Organic,马拉维,2026-06-01,iOS,整体,243.0
整体,柬埔寨,2025-10-01,iOS,整体,1342.0
整体,阿尔及利亚,2025-06-01,iOS,整体,1507.0
整体,尼日利亚,2025-06-01,iOS,整体,29477.0
non-Organic,法国,2025-06-01,iOS,整体,6543.0
non-Organic,塞浦路斯,2025-07-01,Android,整体,195.0
non-Organic,叙利亚,2025-07-01,整体,整体,2646.0
Organic,法属圣马丁,2025-09-01,整体,整体,29.0
Organic,马拉维,2025-09-01,整体,整体,1154.0
Organic,斯威士兰,2025-12-01,Android,整体,71.0
整体,也门,2025-12-01,Android,整体,1078.0
Organic,马拉维,2025-11-01,整体,整体,1116.0
Organic,塞拉利昂,2025-11-01,Android,整体,420.0
