层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.1.喀麦隆,喀麦隆新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,231.236,232.075,112.619,182.288,77.33,86.264,38.871,11.73,28.024,35.834,4.312,24.203,53.124,30.692,-0.839,-0.361521,-0.839,-0.000205,-2.3e-05
1.1.土库曼斯坦,土库曼斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,0.0,17.417,21.693,0.0,,,8.33,,5.6,,,,21.7,,,,,
1.1.土耳其,土耳其新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,12339.871,8898.39,7725.852,6265.532,7772.06,6075.159,6152.568,5840.47,6706.495,7811.071,8258.985,7276.184,6680.338,6614.361,3441.481,38.675322,3441.481,0.84018,0.095775
1.1.圣卢西亚,圣卢西亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,89.107,20.763,101.375,64.195,65.339,156.892,70.381,99.185,57.663,124.156,126.395,56.316,129.496,51.071,68.344,329.162452,68.344,0.016685,0.001902
1.1.圣基茨和尼维斯,圣基茨和尼维斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,65.588,9.577,5.593,35.571,33.633,54.6,43.025,29.846,63.0,41.875,56.117,11.65,24.5,88.89,56.011,584.849118,56.011,0.013674,0.001559
1.1.圣多美和普林西比,圣多美和普林西比新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.圣巴泰勒米岛,圣巴泰勒米岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,98.938,26.002,73.409,0.0,8.33,35.7,0.0,30.8,24.5,0.0,8.33,33.248,43.45,38.5,72.936,280.5015,72.936,0.017806,0.00203
1.1.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.圣诞岛,圣诞岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.圣马力诺,圣马力诺新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.圭亚那,圭亚那新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,167.93,129.857,93.065,99.007,142.044,57.05,11.2,65.8,65.1,21.7,53.548,71.05,101.14,27.3,38.073,29.319174,38.073,0.009295,0.00106
1.1.坦桑尼亚,坦桑尼亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,289.609,200.102,171.435,138.809,182.488,211.79,128.483,160.074,108.273,78.274,134.474,117.286,121.245,83.79,89.507,44.730687,89.507,0.021852,0.002491
1.1.埃及,埃及新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,729.218,645.952,464.549,626.116,497.858,370.799,505.766,509.204,649.668,585.267,546.299,544.342,507.421,459.547,83.266,12.890431,83.266,0.020328,0.002317
1.1.埃塞俄比亚,埃塞俄比亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.基里巴斯,基里巴斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.塔吉克斯坦,塔吉克斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,236.665,163.917,97.388,66.843,106.475,40.928,49.968,57.39,27.915,57.972,96.782,41.222,30.088,36.21,72.748,44.380998,72.748,0.01776,0.002025
1.1.塞内加尔,塞内加尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,457.266,129.253,166.67,22.331,67.035,62.47,64.194,23.336,65.589,62.029,81.48,91.015,34.708,45.653,328.013,253.775928,328.013,0.080079,0.009128
1.1.塞尔维亚,塞尔维亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,5493.632,4545.545,4425.143,3555.264,4747.28,3781.0,3822.808,3762.294,3902.49,5258.043,4860.84,4422.048,4249.742,3414.037,948.087,20.857499,948.087,0.23146,0.026385
1.1.塞拉利昂,塞拉利昂新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,105.295,217.54,52.371,68.435,53.515,65.435,21.0,27.018,53.83,27.535,67.548,15.275,37.8,79.546,-112.245,-51.597407,-112.245,-0.027403,-0.003124
1.1.塞浦路斯,塞浦路斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1287.041,1209.537,1054.582,1128.426,1185.383,1048.527,1047.825,1131.409,984.998,1642.23,1532.527,1328.953,1015.578,1321.49,77.504,6.407741,77.504,0.018921,0.002157
1.1.塞舌尔,塞舌尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,22.036,21.693,36.271,75.471,44.619,19.748,0.0,5.942,26.792,13.242,20.648,45.941,4.845,1.692,0.343,1.581155,0.343,8.4e-05,1e-05
1.1.墨西哥,墨西哥新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,27282.245,26242.464,26325.711,22248.055,27805.654,26132.217,23992.737,21412.402,21748.416,25100.362,22298.929,20508.351,24079.574,20188.877,1039.781,3.962208,1039.781,0.253845,0.028937
1.1.多哥,多哥新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.多米尼克,多米尼克新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,75.949,40.521,21.693,5.593,39.123,35.35,40.6,17.246,5.6,30.8,20.746,37.675,17.5,17.305,35.428,87.431209,35.428,0.008649,0.000986
1.1.多米尼加,多米尼加新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1409.91,1545.022,1628.474,1607.41,1998.512,1660.365,1552.937,1072.29,1095.939,1509.387,1141.446,1380.503,1413.776,1280.546,-135.112,-8.744989,-135.112,-0.032985,-0.00376
1.1.奥兰群岛,奥兰群岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.奥地利,奥地利新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,4315.408,3642.481,3427.539,2753.484,3645.185,3113.032,3853.302,3090.109,3392.808,5284.328,4630.821,4337.287,3763.088,2837.498,672.927,18.474413,672.927,0.164284,0.018727
1.1.委内瑞拉,委内瑞拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,181.187,198.781,209.393,153.989,207.193,113.896,186.822,106.161,174.916,167.119,114.522,90.153,210.416,159.077,-17.594,-8.850947,-17.594,-0.004295,-0.00049
1.1.孟加拉,孟加拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,25.944,71.576,31.505,51.812,8.768,0.0,19.598,35.341,27.715,24.429,13.763,14.211,18.368,23.492,-45.632,-63.753213,-45.632,-0.01114,-0.00127
1.1.安哥拉,安哥拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,72.542,136.355,85.537,90.253,77.931,107.907,89.822,117.347,90.313,79.1,79.888,72.59,101.826,34.93,-63.813,-46.799164,-63.813,-0.015579,-0.001776
1.1.安圭拉,安圭拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,15.043,0.0,5.593,,,4.9,,,,21.7,,,0.0,0.0,15.043,,15.043,0.003672,0.000419
1.1.安提瓜和巴布达,安提瓜和巴布达新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,109.082,99.555,34.409,30.255,132.347,60.441,63.225,92.4,3.375,116.904,38.723,41.041,0.0,71.721,9.527,9.569585,9.527,0.002326,0.000265
1.1.安道尔,安道尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.密克罗尼西亚联邦,密克罗尼西亚联邦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.尼加拉瓜,尼加拉瓜新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,276.579,207.223,210.413,266.667,276.895,222.432,204.661,200.984,190.579,163.125,217.008,165.818,175.05,94.673,69.356,33.469258,69.356,0.016932,0.00193
1.1.尼日利亚,尼日利亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,3853.89,3496.789,2975.434,2775.721,2382.935,2231.391,1881.378,1850.232,2019.3,1576.31,1089.312,955.085,868.901,863.179,357.101,10.212255,357.101,0.08718,0.009938
1.1.尼日尔,尼日尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,20.655,0.0,21.693,0.0,,3.79,11.9,,0.0,21.7,,17.5,0.0,0.0,20.655,,20.655,0.005043,0.000575
1.1.尼泊尔,尼泊尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,19.534,49.404,17.417,24.277,4.505,31.117,19.42,17.11,5.936,7.22,4.501,25.533,15.17,7.772,-29.87,-60.460691,-29.87,-0.007292,-0.000831
1.1.巴勒斯坦,巴勒斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
