enter_abtest_date,active_date,abcode,lcx,week_day,control_active0,control_activex,retention_rate
20260505,20260510,28906,5,7,7195,517,0.0719
20260505,20260511,28906,6,1,7195,459,0.0638
20260505,20260512,28906,7,2,7195,343,0.0477
20260505,20260513,28906,8,3,7195,304,0.0423
20260505,20260514,28906,9,4,7195,309,0.0429
20260505,20260515,28906,10,5,7195,298,0.0414
20260505,20260516,28906,11,6,7195,303,0.0421
20260505,20260517,28906,12,7,7195,288,0.04
20260505,20260518,28906,13,1,7195,322,0.0448
20260506,20260507,28906,1,4,7317,970,0.1326
20260506,20260508,28906,2,5,7317,610,0.0834
20260506,20260509,28906,3,6,7317,484,0.0661
20260506,20260510,28906,4,7,7317,556,0.076
20260506,20260511,28906,5,1,7317,524,0.0716
20260506,20260512,28906,6,2,7317,393,0.0537
20260506,20260513,28906,7,3,7317,337,0.0461
20260506,20260514,28906,8,4,7317,317,0.0433
20260506,20260515,28906,9,5,7317,359,0.0491
20260506,20260516,28906,10,6,7317,309,0.0422
20260506,20260517,28906,11,7,7317,300,0.041
20260506,20260518,28906,12,1,7317,320,0.0437
20260507,20260508,28906,1,5,7084,987,0.1393
20260507,20260509,28906,2,6,7084,618,0.0872
20260507,20260510,28906,3,7,7084,559,0.0789
20260507,20260511,28906,4,1,7084,492,0.0695
20260507,20260512,28906,5,2,7084,433,0.0611
20260507,20260513,28906,6,3,7084,346,0.0488
20260507,20260514,28906,7,4,7084,343,0.0484
20260507,20260515,28906,8,5,7084,383,0.0541
20260507,20260516,28906,9,6,7084,334,0.0471
20260507,20260517,28906,10,7,7084,375,0.0529
20260507,20260518,28906,11,1,7084,320,0.0452
20260508,20260509,28906,1,6,7469,1012,0.1355
20260508,20260510,28906,2,7,7469,713,0.0955
20260508,20260511,28906,3,1,7469,600,0.0803
20260508,20260512,28906,4,2,7469,434,0.0581
20260508,20260513,28906,5,3,7469,390,0.0522
20260508,20260514,28906,6,4,7469,427,0.0572
20260508,20260515,28906,7,5,7469,389,0.0521
20260508,20260516,28906,8,6,7469,338,0.0453
20260508,20260517,28906,9,7,7469,376,0.0503
20260508,20260518,28906,10,1,7469,373,0.0499
20260509,20260510,28906,1,7,8385,1251,0.1492
20260509,20260511,28906,2,1,8385,761,0.0908
20260509,20260512,28906,3,2,8385,514,0.0613
20260509,20260513,28906,4,3,8385,438,0.0522
20260509,20260514,28906,5,4,8385,420,0.0501
20260509,20260515,28906,6,5,8385,442,0.0527
20260509,20260516,28906,7,6,8385,408,0.0487
20260509,20260517,28906,8,7,8385,445,0.0531
20260509,20260518,28906,9,1,8385,384,0.0458
20260510,20260511,28906,1,1,10844,1587,0.1463
20260510,20260512,28906,2,2,10844,739,0.0681
20260510,20260513,28906,3,3,10844,582,0.0537
20260510,20260514,28906,4,4,10844,556,0.0513
20260510,20260515,28906,5,5,10844,551,0.0508
20260510,20260516,28906,6,6,10844,557,0.0514
20260510,20260517,28906,7,7,10844,590,0.0544
20260510,20260518,28906,8,1,10844,554,0.0511
20260511,20260512,28906,1,2,10672,1247,0.1168
20260511,20260513,28906,2,3,10672,756,0.0708
20260511,20260514,28906,3,4,10672,622,0.0583
20260511,20260515,28906,4,5,10672,592,0.0555
20260511,20260516,28906,5,6,10672,521,0.0488
20260511,20260517,28906,6,7,10672,595,0.0558
20260511,20260518,28906,7,1,10672,571,0.0535
20260429,20260430,28907,1,4,2561,502,0.196
20260429,20260501,28907,2,5,2561,293,0.1144
20260429,20260502,28907,3,6,2561,235,0.0918
20260429,20260503,28907,4,7,2561,233,0.091
20260429,20260504,28907,5,1,2561,215,0.084
20260429,20260505,28907,6,2,2561,174,0.0679
20260429,20260506,28907,7,3,2561,180,0.0703
20260429,20260507,28907,8,4,2561,159,0.0621
20260429,20260508,28907,9,5,2561,161,0.0629
20260429,20260509,28907,10,6,2561,170,0.0664
20260429,20260510,28907,11,7,2561,184,0.0718
