层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
2.2.1.老挝,老挝 活跃UV,5.571429,6.571429,5.714286,8.142857,6.142857,6.857143,8.0,5.857143,-1.0,-15.217391,5.97e-08,0.008387,1.9e-05
2.2.1.肯尼亚,肯尼亚 活跃UV,537.571429,529.857143,517.285714,530.428571,534.714286,549.0,534.0,543.428571,7.714286,1.455918,9e-10,0.000126,0.0
2.2.1.芬兰,芬兰 活跃UV,335.285714,290.714286,299.0,275.0,285.857143,264.428571,237.714286,242.571429,44.571429,15.331695,2.6939e-06,0.378352,0.000835
2.2.1.苏丹,苏丹 活跃UV,32.142857,29.0,32.285714,30.142857,33.0,39.142857,27.0,31.571429,3.142857,10.837438,-4.495e-07,-0.063127,-0.000139
2.2.1.苏里南,苏里南 活跃UV,11.714286,8.857143,8.285714,9.428571,11.0,9.428571,10.142857,11.0,2.857143,32.258065,2.046e-07,0.028733,6.3e-05
2.2.1.英国,英国 活跃UV,4263.0,4414.142857,4292.428571,4018.285714,4037.714286,4807.714286,4078.285714,3938.714286,-151.142857,-3.424059,-1.78482e-05,-2.506766,-0.005531
2.2.1.英属印度洋领地,英属印度洋领地 活跃UV,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-3.5e-09,-0.000489,-1e-06
2.2.1.英属维尔京群岛,英属维尔京群岛 活跃UV,2.714286,2.857143,3.857143,2.857143,1.714286,2.857143,2.5,3.571429,-0.142857,-5.0,-6.38e-08,-0.008961,-2e-05
2.2.1.荷兰,荷兰 活跃UV,1344.714286,1334.571429,1328.714286,1306.428571,1314.428571,1442.857143,1341.571429,1365.857143,10.142857,0.760009,-4.606e-07,-0.064693,-0.000143
2.2.1.荷兰加勒比,荷兰加勒比 活跃UV,1.0,1.0,1.0,1.5,1.25,1.0,1.2,1.4,0.0,0.0,6.3e-09,0.000889,2e-06
2.2.1.荷属圣马丁,荷属圣马丁 活跃UV,1.4,2.666667,1.714286,1.666667,2.0,2.428571,2.0,2.571429,-1.266667,-47.5,6.47e-08,0.009088,2e-05
2.2.1.荷属安的列斯,荷属安的列斯 活跃UV,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.3e-09,0.000889,2e-06
2.2.1.莫桑比克,莫桑比克 活跃UV,371.428571,392.714286,381.857143,388.285714,431.714286,451.571429,436.142857,484.142857,-21.285714,-5.420153,2.7649e-06,0.388335,0.000857
2.2.1.莱索托,莱索托 活跃UV,6.428571,6.428571,5.285714,5.428571,5.285714,3.857143,3.142857,5.0,0.0,0.0,-4.2e-09,-0.000586,-1e-06
2.2.1.菲律宾,菲律宾 活跃UV,1530.714286,1547.285714,1618.571429,1622.714286,1656.857143,1713.285714,1735.571429,1764.714286,-16.571429,-1.071,2.0573e-06,0.288941,0.000638
2.2.1.萨尔瓦多,萨尔瓦多 活跃UV,232.142857,227.142857,234.857143,230.571429,222.571429,225.857143,231.285714,257.142857,5.0,2.201258,1.534e-07,0.021548,4.8e-05
2.2.1.萨摩亚,萨摩亚 活跃UV,1.0,1.0,0.0,1.0,1.142857,1.0,1.0,0.0,0.0,0.0,6.3e-09,0.000889,2e-06
2.2.1.葡萄牙,葡萄牙 活跃UV,804.0,830.142857,829.714286,875.285714,837.142857,819.428571,759.142857,749.0,-26.142857,-3.1492,-2.0445e-06,-0.28715,-0.000634
2.2.1.蒙古,蒙古 活跃UV,7.571429,7.0,9.142857,10.285714,11.142857,10.0,9.285714,11.428571,0.571429,8.163265,-7.28e-08,-0.010223,-2.3e-05
2.2.1.蒙塞拉特岛,蒙塞拉特岛 活跃UV,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.8e-09,-0.000949,-2e-06
2.2.1.西班牙,西班牙 活跃UV,1422.857143,1451.857143,1442.571429,1441.428571,1388.571429,1474.571429,1398.857143,1410.857143,-29.0,-1.997442,-4.4413e-06,-0.623782,-0.001376
2.2.1.诺福克岛,诺福克岛 活跃UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2.2.1.贝宁,贝宁 活跃UV,44.428571,47.0,46.428571,43.857143,45.0,52.857143,43.571429,42.428571,-2.571429,-5.471125,2.017e-07,0.028326,6.3e-05
2.2.1.赞比亚,赞比亚 活跃UV,70.285714,68.571429,66.428571,73.142857,75.857143,75.857143,79.428571,75.285714,1.714286,2.5,-2.09e-08,-0.002939,-6e-06
2.2.1.赤道几内亚,赤道几内亚 活跃UV,4.571429,5.571429,3.714286,3.285714,5.142857,4.571429,5.285714,3.285714,-1.0,-17.948718,1.45e-08,0.00204,5e-06
2.2.1.越南,越南 活跃UV,93.857143,95.142857,103.0,101.428571,94.571429,104.142857,106.714286,107.0,-1.285714,-1.351351,-3.68e-07,-0.051691,-0.000114
2.2.1.阿塞拜疆,阿塞拜疆 活跃UV,218.428571,189.142857,189.428571,203.428571,195.428571,207.142857,170.142857,182.0,29.285714,15.483384,-1.18e-07,-0.016574,-3.7e-05
2.2.1.阿富汗,阿富汗 活跃UV,88.428571,90.857143,97.714286,100.142857,124.428571,148.714286,100.714286,106.285714,-2.428571,-2.672956,6.342e-07,0.089074,0.000197
2.2.1.阿尔及利亚,阿尔及利亚 活跃UV,183.714286,196.142857,195.0,197.0,202.0,242.0,211.857143,216.714286,-12.428571,-6.336489,5.88e-07,0.082585,0.000182
2.2.1.阿尔巴尼亚,阿尔巴尼亚 活跃UV,112.142857,106.857143,116.142857,99.571429,106.0,106.571429,96.142857,102.714286,5.285714,4.946524,8.89e-08,0.012488,2.8e-05
2.2.1.阿曼,阿曼 活跃UV,37.428571,36.571429,36.857143,33.142857,36.857143,55.0,33.857143,38.571429,0.857143,2.34375,-2.42e-08,-0.003405,-8e-06
2.2.1.阿根廷,阿根廷 活跃UV,1949.714286,2135.285714,2176.857143,2013.571429,2041.285714,2202.428571,2135.428571,2170.571429,-185.571429,-8.690707,-4.8616e-06,-0.682807,-0.001507
2.2.1.阿联酋,阿联酋 活跃UV,206.428571,216.0,207.714286,219.0,231.714286,288.857143,207.142857,221.857143,-9.571429,-4.431217,4.69e-08,0.006592,1.5e-05
2.2.1.阿鲁巴,阿鲁巴 活跃UV,11.142857,10.571429,9.571429,9.142857,8.142857,10.428571,11.142857,8.428571,0.571429,5.405405,7.83e-08,0.011004,2.4e-05
2.2.1.韩国,韩国 活跃UV,178.571429,192.857143,175.285714,172.857143,191.142857,202.142857,193.0,198.142857,-14.285714,-7.407407,-2.199e-07,-0.03089,-6.8e-05
2.2.1.马尔代夫,马尔代夫 活跃UV,16.0,17.285714,16.428571,15.857143,18.714286,22.285714,15.857143,18.0,-1.285714,-7.438017,2.07e-08,0.002901,6e-06
2.2.1.马恩岛,马恩岛 活跃UV,1.75,2.142857,2.5,1.857143,2.2,2.833333,1.714286,2.666667,-0.392857,-18.333333,1.844e-07,0.025904,5.7e-05
2.2.1.马拉维,马拉维 活跃UV,75.285714,87.285714,86.714286,83.428571,84.142857,87.571429,83.285714,84.285714,-12.0,-13.747954,9.97e-08,0.014008,3.1e-05
2.2.1.马提尼克岛,马提尼克岛 活跃UV,1.666667,1.857143,1.8,2.5,1.4,2.142857,2.142857,2.166667,-0.190476,-10.25641,-2.27e-08,-0.003195,-7e-06
2.2.1.马来西亚,马来西亚 活跃UV,285.142857,294.142857,298.714286,298.285714,324.428571,348.0,312.571429,312.285714,-9.0,-3.059738,-4.071e-07,-0.057182,-0.000126
2.2.1.马约特,马约特 活跃UV,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.0,-100.0,,,
2.2.1.马绍尔群岛,马绍尔群岛 活跃UV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-100.0,,,
2.2.1.马耳他,马耳他 活跃UV,52.714286,56.428571,54.142857,49.714286,51.142857,49.142857,45.571429,50.285714,-3.714286,-6.582278,-3.34e-08,-0.004685,-1e-05
2.2.1.马达加斯加,马达加斯加 活跃UV,253.428571,268.285714,240.428571,246.142857,251.0,280.857143,267.714286,271.142857,-14.857143,-5.537806,1.9691e-06,0.276562,0.00061
2.2.1.马里,马里 活跃UV,54.571429,49.142857,59.142857,61.285714,27.714286,32.714286,21.142857,20.714286,5.428571,11.046512,-7.52e-07,-0.105618,-0.000233
2.2.1.黎巴嫩,黎巴嫩 活跃UV,259.714286,259.142857,275.0,270.0,279.714286,300.714286,255.142857,268.857143,0.571429,0.220507,-8.49e-08,-0.011921,-2.6e-05
2.2.1.黑山,黑山 活跃UV,125.0,131.285714,110.571429,114.428571,99.428571,108.0,101.142857,93.857143,-6.285714,-4.787813,-4.782e-07,-0.067159,-0.000148
2.2.2,iOS 活跃UV,520509.714286,516456.142857,512266.0,522823.142857,504287.285714,513735.571429,489938.285714,508701.428571,4053.571429,0.784882,-9.23743e-05,-12.973922,-0.028628
2.2.2.unknow,unknow 活跃UV,37.142857,34.0,26.714286,29.285714,32.0,39.428571,39.285714,39.142857,3.142857,9.243697,4.34e-08,0.006098,1.3e-05
2.2.2.不丹,不丹 活跃UV,1.857143,2.857143,2.666667,3.6,3.0,2.833333,1.833333,2.714286,-1.0,-35.0,3.45e-07,0.048451,0.000107
2.2.2.东帝汶,东帝汶 活跃UV,3.285714,4.0,4.142857,4.285714,6.142857,5.428571,5.0,4.571429,-0.714286,-17.857143,6.42e-08,0.009013,2e-05
2.2.2.中国,中国 活跃UV,159.142857,255.142857,149.428571,155.714286,149.285714,143.714286,143.714286,144.714286,-96.0,-37.62598,-1.4222e-06,-0.199747,-0.000441
2.2.2.中国台湾,中国台湾 活跃UV,110.714286,108.0,115.571429,100.285714,124.0,134.428571,137.285714,144.571429,2.714286,2.513228,-9.8e-09,-0.001371,-3e-06
2.2.2.中国澳门,中国澳门 活跃UV,14.285714,11.0,12.0,11.428571,17.428571,17.714286,14.142857,17.857143,3.285714,29.87013,3.269e-07,0.045916,0.000101
2.2.2.中国香港,中国香港 活跃UV,623.857143,841.857143,486.428571,608.714286,736.428571,447.571429,667.285714,636.0,-218.0,-25.89513,-1.34995e-05,-1.896004,-0.004184
2.2.2.中非,中非 活跃UV,3.333333,1.333333,1.25,1.666667,1.0,1.0,1.333333,2.333333,2.0,150.0,-3.272e-07,-0.04595,-0.000101
2.2.2.丹麦,丹麦 活跃UV,800.142857,896.0,777.0,746.571429,763.571429,824.0,718.714286,766.0,-95.857143,-10.698342,3.6478e-06,0.512336,0.00113
2.2.2.乌克兰,乌克兰 活跃UV,6356.428571,6571.857143,6165.428571,6196.142857,6025.857143,6537.857143,6087.857143,5579.0,-215.428571,-3.278047,1.168e-06,0.164048,0.000362
2.2.2.乌兹别克斯坦,乌兹别克斯坦 活跃UV,220.571429,194.857143,200.571429,191.142857,195.714286,215.142857,187.571429,198.857143,25.714286,13.196481,-6.172e-07,-0.086687,-0.000191
2.2.2.乌干达,乌干达 活跃UV,97.571429,98.571429,91.714286,97.0,102.428571,97.571429,93.857143,104.0,-1.0,-1.014493,-7.09e-08,-0.009965,-2.2e-05
2.2.2.乌拉圭,乌拉圭 活跃UV,261.857143,250.428571,267.571429,266.0,262.857143,253.428571,274.285714,289.714286,11.428571,4.563605,2.116e-07,0.029718,6.6e-05
2.2.2.乍得,乍得 活跃UV,2.0,4.142857,2.428571,3.5,3.714286,2.285714,3.142857,3.0,-2.142857,-51.724138,2.153e-07,0.030244,6.7e-05
2.2.2.也门,也门 活跃UV,8.285714,6.857143,6.285714,6.142857,7.857143,9.857143,6.714286,8.571429,1.428571,20.833333,-1.762e-07,-0.024752,-5.5e-05
