result.date_p,result.platform,result.install_days_type,country_type,result.hist_sub_type,target_user_uv,day_paid_user_uv,day_revenue_usd,skin_tone_paid_user_uv,skin_tone_revenue_usd
20260805,iOS,30天以上,德国,历史未订阅过,68,0,0.0,0,0.0
20260805,iOS,30天以上,西班牙,历史未订阅过,106,1,10.01,1,10.01
20260728,Android,新用户,巴西,历史未订阅过,3,0,0.0,0,0.0
20260729,iOS,30天以上,以色列,历史未订阅过,14,0,0.0,0,0.0
20260729,iOS,30天以上,墨西哥,历史未订阅过,69,1,6.13,1,6.13
20260803,iOS,30天以上,西班牙,历史订阅过（含试用）,33,3,90.07,2,50.12
20260805,Android,30天以上,澳大利亚,历史订阅过（含试用）,2,1,5.17,1,5.17
20260805,iOS,30天以上,以色列,历史订阅过（含试用）,4,1,6.95,1,6.95
20260805,iOS,30天以上,美国,历史未订阅过,319,6,130.51,5,124.91
20260806,iOS,新用户,澳大利亚,历史未订阅过,3,0,0.0,0,0.0
20260722,iOS,30天内,巴西,历史未订阅过,59,1,2.55,0,0.0
20260801,iOS,30天以上,美国,历史订阅过（含试用）,196,16,267.29,10,167.93
20260801,iOS,30天内,英国,历史未订阅过,22,2,16.11,0,0.0
20260725,Android,30天以上,英国,历史未订阅过,19,0,0.0,0,0.0
20260804,Android,30天内,墨西哥,历史未订阅过,5,0,0.0,0,0.0
20260804,iOS,30天内,澳大利亚,历史未订阅过,2,0,0.0,0,0.0
20260805,iOS,30天以上,乌克兰,历史未订阅过,26,1,4.66,1,4.66
20260725,Android,30天内,英国,历史未订阅过,3,0,0.0,0,0.0
20260727,Android,30天以上,乌克兰,历史未订阅过,2,0,0.0,0,0.0
20260727,iOS,30天以上,巴西,历史订阅过（含试用）,441,14,86.77,9,63.55
20260729,Android,30天以上,西班牙,历史未订阅过,10,0,0.0,0,0.0
20260731,iOS,30天内,澳大利亚,历史未订阅过,2,0,0.0,0,0.0
20260802,Android,30天以上,美国,历史未订阅过,18,1,19.36,1,19.36
20260802,iOS,30天以上,其他,历史订阅过（含试用）,409,15,182.76,9,116.22
20260804,Android,30天以上,西班牙,历史订阅过（含试用）,2,0,0.0,0,0.0
20260723,iOS,30天以上,加拿大,历史未订阅过,26,0,0.0,0,0.0
20260724,Android,30天以上,西班牙,历史订阅过（含试用）,2,0,0.0,0,0.0
20260724,iOS,新用户,其他,历史未订阅过,65,0,0.0,0,0.0
20260723,Android,30天以上,乌克兰,历史未订阅过,3,0,0.0,0,0.0
20260723,Android,新用户,美国,历史未订阅过,1,0,0.0,0,0.0
20260727,iOS,新用户,美国,历史未订阅过,30,1,26.94,1,26.94
20260730,iOS,新用户,澳大利亚,历史未订阅过,2,0,0.0,0,0.0
20260731,Android,30天以上,巴西,历史订阅过（含试用）,36,1,2.59,1,2.59
20260802,iOS,30天以上,澳大利亚,历史订阅过（含试用）,74,1,8.94,1,8.94
20260803,iOS,30天以上,英国,历史未订阅过,397,8,142.96,8,142.96
20260729,iOS,30天以上,以色列,历史订阅过（含试用）,1,0,0.0,0,0.0
20260731,iOS,30天内,美国,历史订阅过（含试用）,2,0,0.0,0,0.0
20260801,Android,30天内,澳大利亚,历史未订阅过,1,0,0.0,0,0.0
20260802,iOS,30天内,英国,历史未订阅过,49,1,10.21,1,10.21
20260725,Android,30天以上,墨西哥,历史未订阅过,31,0,0.0,0,0.0
20260726,Android,30天以上,美国,历史订阅过（含试用）,7,2,11.88,0,0.0
20260726,Android,30天以上,英国,历史未订阅过,22,0,0.0,0,0.0
20260728,Android,30天内,美国,历史未订阅过,2,0,0.0,0,0.0
20260730,Android,30天内,英国,历史未订阅过,1,0,0.0,0,0.0
20260731,iOS,30天以上,加拿大,历史未订阅过,39,0,0.0,0,0.0
20260806,iOS,30天以上,美国,历史订阅过（含试用）,172,12,103.52,9,86.74
20260726,Android,30天以上,乌克兰,历史订阅过（含试用）,1,0,0.0,0,0.0
20260727,iOS,30天内,加拿大,历史订阅过（含试用）,1,0,0.0,0,0.0
